#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
260233	11315	64800	116446	122306	CTA-215D11.1	RP1-185D5.5	PARK7	EFCAB6	DJ-1|DJ1|HEL-S-67p	DJBP|HSCBCIP1|dJ185D5.1	Affinity Capture-Western	physical	Niki T (2003)	PUBMED:12612053	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	Q5THR3	-	NP_073622|NP_942153	-	-	-	-	-	-	Homo sapiens	Homo sapiens
260234	11315	64800	116446	122306	CTA-215D11.1	RP1-185D5.5	PARK7	EFCAB6	DJ-1|DJ1|HEL-S-67p	DJBP|HSCBCIP1|dJ185D5.1	Reconstituted Complex	physical	Niki T (2003)	PUBMED:12612053	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	Q5THR3	-	NP_073622|NP_942153	-	-	-	-	-	-	Homo sapiens	Homo sapiens
260235	64800	11315	122306	116446	RP1-185D5.5	CTA-215D11.1	EFCAB6	PARK7	DJBP|HSCBCIP1|dJ185D5.1	DJ-1|DJ1|HEL-S-67p	Two-hybrid	physical	Niki T (2003)	PUBMED:12612053	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q5THR3	-	NP_073622|NP_942153	Q99497	V9HWC2	NP_009193|NP_001116849	-	-	-	-	-	-	Homo sapiens	Homo sapiens
317332	11315	9063	116446	114523	CTA-215D11.1	-	PARK7	PIAS2	DJ-1|DJ1|HEL-S-67p	ARIP3|DIP|MIZ|MIZ1|PIASX|PIASX-ALPHA|PIASX-BETA|SIZ2|ZMIZ4	Two-hybrid	physical	Takahashi K (2001)	PUBMED:11477070	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	O75928	-	NP_001310976|NP_001310977|NP_001310975|NP_001310978|NP_001310983|NP_001310982|NP_001310981|NP_001310980|NP_001310987|NP_001310986|NP_001310984|NP_775298|NP_001310989|NP_001310988|NP_004662	-	-	-	-	-	-	Homo sapiens	Homo sapiens
317333	11315	9063	116446	114523	CTA-215D11.1	-	PARK7	PIAS2	DJ-1|DJ1|HEL-S-67p	ARIP3|DIP|MIZ|MIZ1|PIASX|PIASX-ALPHA|PIASX-BETA|SIZ2|ZMIZ4	Reconstituted Complex	physical	Takahashi K (2001)	PUBMED:11477070	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	O75928	-	NP_001310976|NP_001310977|NP_001310975|NP_001310978|NP_001310983|NP_001310982|NP_001310981|NP_001310980|NP_001310987|NP_001310986|NP_001310984|NP_775298|NP_001310989|NP_001310988|NP_004662	-	-	-	-	-	-	Homo sapiens	Homo sapiens
317334	11315	9063	116446	114523	CTA-215D11.1	-	PARK7	PIAS2	DJ-1|DJ1|HEL-S-67p	ARIP3|DIP|MIZ|MIZ1|PIASX|PIASX-ALPHA|PIASX-BETA|SIZ2|ZMIZ4	Affinity Capture-Western	physical	Takahashi K (2001)	PUBMED:11477070	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	O75928	-	NP_001310976|NP_001310977|NP_001310975|NP_001310978|NP_001310983|NP_001310982|NP_001310981|NP_001310980|NP_001310987|NP_001310986|NP_001310984|NP_775298|NP_001310989|NP_001310988|NP_004662	-	-	-	-	-	-	Homo sapiens	Homo sapiens
423832	10869	11315	116078	116446	-	CTA-215D11.1	USP19	PARK7	ZMYND9	DJ-1|DJ1|HEL-S-67p	Affinity Capture-MS	physical	Sowa ME (2009)	PUBMED:19615732	9606	9606	High Throughput	2.56	-	exogenous expression of bait	-	BIOGRID	O94966	-	NP_001186090|NP_001186091|NP_001338029|NP_001186089|NP_006668|NP_001338028|NP_001338030|NP_001338031|NP_001338027|NP_001338033|NP_001338032|NP_001338035|NP_001338034|NP_001338037|NP_001338036	Q99497	V9HWC2	NP_009193|NP_001116849	BTO:0000007	HEK-293 cell	cell line	BTO:0000414	epithelial cell	-	Homo sapiens	Homo sapiens
423833	29086	11315	118855	116446	HSPC142	CTA-215D11.1	BABAM1	PARK7	C19orf62|MERIT40|NBA1	DJ-1|DJ1|HEL-S-67p	Affinity Capture-MS	physical	Sowa ME (2009)	PUBMED:19615732	9606	9606	High Throughput	1.18	-	exogenous expression of bait	-	BIOGRID	Q9NWV8	A0A024R7L2|J3KQS6	NP_001028721|NP_001275686|NP_001275685|NP_054892	Q99497	V9HWC2	NP_009193|NP_001116849	BTO:0000007	HEK-293 cell	cell line	BTO:0000414	epithelial cell	-	Homo sapiens	Homo sapiens
437115	11315	6647	116446	112530	CTA-215D11.1	-	PARK7	SOD1	DJ-1|DJ1|HEL-S-67p	ALS|ALS1|HEL-S-44|IPOA|SOD|hSod1|homodimer	PCA	physical	Xu XM (2010)	PUBMED:20406884	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	P00441	V9HWC9	NP_000445	-	-	-	-	-	-	Homo sapiens	Homo sapiens
471161	11315	5071	116446	111105	CTA-215D11.1	KB-152G3.1	PARK7	PARK2	DJ-1|DJ1|HEL-S-67p	AR-JP|LPRS2|PDJ|PRKN	Affinity Capture-Western	physical	Moore DJ (2005)	PUBMED:15525661	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	O60260	X5DR79	NP_054643|NP_054642|NP_004553	-	-	-	-	-	-	Homo sapiens	Homo sapiens
471162	5071	11315	111105	116446	KB-152G3.1	CTA-215D11.1	PARK2	PARK7	AR-JP|LPRS2|PDJ|PRKN	DJ-1|DJ1|HEL-S-67p	Affinity Capture-Western	physical	Moore DJ (2005)	PUBMED:15525661	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60260	X5DR79	NP_054643|NP_054642|NP_004553	Q99497	V9HWC2	NP_009193|NP_001116849	-	-	-	-	-	-	Homo sapiens	Homo sapiens
471163	11315	11315	116446	116446	CTA-215D11.1	CTA-215D11.1	PARK7	PARK7	DJ-1|DJ1|HEL-S-67p	DJ-1|DJ1|HEL-S-67p	Affinity Capture-Western	physical	Moore DJ (2005)	PUBMED:15525661	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	Q99497	V9HWC2	NP_009193|NP_001116849	-	-	-	-	-	-	Homo sapiens	Homo sapiens
471164	11315	10273	116446	115563	CTA-215D11.1	LA16c-313D11.6	PARK7	STUB1	DJ-1|DJ1|HEL-S-67p	CHIP|HSPABP2|NY-CO-7|SCAR16|SDCCAG7|UBOX1	Affinity Capture-Western	physical	Moore DJ (2005)	PUBMED:15525661	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	Q9UNE7	-	NP_005852|NP_001280126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
471165	3308	11315	109540	116446	-	CTA-215D11.1	HSPA4	PARK7	APG-2|HEL-S-5a|HS24/P52|HSPH2|RY|hsp70|hsp70RY	DJ-1|DJ1|HEL-S-67p	Affinity Capture-Western	physical	Moore DJ (2005)	PUBMED:15525661	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P34932	-	NP_002145	Q99497	V9HWC2	NP_009193|NP_001116849	-	-	-	-	-	-	Homo sapiens	Homo sapiens
521672	5071	11315	111105	116446	KB-152G3.1	CTA-215D11.1	PARK2	PARK7	AR-JP|LPRS2|PDJ|PRKN	DJ-1|DJ1|HEL-S-67p	Biochemical Activity	physical	Olzmann JA (2007)	PUBMED:17846173	9606	9606	Low Throughput	-	Ubiquitination	The in vitro reaction contained E1, UbcH13/Uev1a [E2], and ubiquitin.	-	BIOGRID	O60260	X5DR79	NP_054643|NP_054642|NP_004553	Q99497	V9HWC2	NP_009193|NP_001116849	-	-	-	-	-	-	Homo sapiens	Homo sapiens
521673	11315	5071	116446	111105	CTA-215D11.1	KB-152G3.1	PARK7	PARK2	DJ-1|DJ1|HEL-S-67p	AR-JP|LPRS2|PDJ|PRKN	Affinity Capture-Western	physical	Olzmann JA (2007)	PUBMED:17846173	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	O60260	X5DR79	NP_054643|NP_054642|NP_004553	-	-	-	-	-	-	Homo sapiens	Homo sapiens
521674	5071	11315	111105	116446	KB-152G3.1	CTA-215D11.1	PARK2	PARK7	AR-JP|LPRS2|PDJ|PRKN	DJ-1|DJ1|HEL-S-67p	Reconstituted Complex	physical	Olzmann JA (2007)	PUBMED:17846173	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60260	X5DR79	NP_054643|NP_054642|NP_004553	Q99497	V9HWC2	NP_009193|NP_001116849	-	-	-	-	-	-	Homo sapiens	Homo sapiens
530689	9112	11315	114562	116446	-	CTA-215D11.1	MTA1	PARK7	-	DJ-1|DJ1|HEL-S-67p	Affinity Capture-Western	physical	Reddy SD (2011)	PUBMED:21368136	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13330	Q9BRL8	NP_004680|NP_001190187	Q99497	V9HWC2	NP_009193|NP_001116849	-	-	-	-	-	-	Homo sapiens	Homo sapiens
530690	11315	9112	116446	114562	CTA-215D11.1	-	PARK7	MTA1	DJ-1|DJ1|HEL-S-67p	-	Affinity Capture-Western	physical	Reddy SD (2011)	PUBMED:21368136	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	Q13330	Q9BRL8	NP_004680|NP_001190187	-	-	-	-	-	-	Homo sapiens	Homo sapiens
530691	11315	9112	116446	114562	CTA-215D11.1	-	PARK7	MTA1	DJ-1|DJ1|HEL-S-67p	-	Reconstituted Complex	physical	Reddy SD (2011)	PUBMED:21368136	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	Q13330	Q9BRL8	NP_004680|NP_001190187	-	-	-	-	-	-	Homo sapiens	Homo sapiens
530693	5309	11315	111326	116446	-	CTA-215D11.1	PITX3	PARK7	ASMD|ASOD|CTPP4|CTRCT11|PTX3	DJ-1|DJ1|HEL-S-67p	Co-localization	physical	Reddy SD (2011)	PUBMED:21368136	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O75364	-	NP_005020	Q99497	V9HWC2	NP_009193|NP_001116849	-	-	-	-	-	-	Homo sapiens	Homo sapiens
554888	11315	1108	116446	107533	CTA-215D11.1	-	PARK7	CHD4	DJ-1|DJ1|HEL-S-67p	CHD-4|Mi-2b|Mi2-BETA	Affinity Capture-MS	physical	Opsahl JA (2010)	PUBMED:20127688	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	Q14839	F5GWX5	NP_001350535|NP_001284482|NP_001264	-	-	-	-	-	-	Homo sapiens	Homo sapiens
554889	11315	3065	116446	109315	CTA-215D11.1	RP4-811H24.2	PARK7	HDAC1	DJ-1|DJ1|HEL-S-67p	GON-10|HD1|RPD3|RPD3L1	Affinity Capture-MS	physical	Opsahl JA (2010)	PUBMED:20127688	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	Q13547	Q6IT96	NP_004955	-	-	-	-	-	-	Homo sapiens	Homo sapiens
554890	11315	3066	116446	109316	CTA-215D11.1	-	PARK7	HDAC2	DJ-1|DJ1|HEL-S-67p	HD2|RPD3|YAF1	Affinity Capture-MS	physical	Opsahl JA (2010)	PUBMED:20127688	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	Q92769	-	NP_001518	-	-	-	-	-	-	Homo sapiens	Homo sapiens
554891	11315	53615	116446	119788	CTA-215D11.1	-	PARK7	MBD3	DJ-1|DJ1|HEL-S-67p	-	Affinity Capture-MS	physical	Opsahl JA (2010)	PUBMED:20127688	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	O95983	-	NP_001268383|NP_001268382	-	-	-	-	-	-	Homo sapiens	Homo sapiens
554892	11315	9112	116446	114562	CTA-215D11.1	-	PARK7	MTA1	DJ-1|DJ1|HEL-S-67p	-	Affinity Capture-MS	physical	Opsahl JA (2010)	PUBMED:20127688	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	Q13330	Q9BRL8	NP_004680|NP_001190187	-	-	-	-	-	-	Homo sapiens	Homo sapiens
554893	11315	9219	116446	114652	CTA-215D11.1	-	PARK7	MTA2	DJ-1|DJ1|HEL-S-67p	MTA1L1|PID	Affinity Capture-MS	physical	Opsahl JA (2010)	PUBMED:20127688	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	O94776	A0A024R534	NP_001317221|NP_004730	-	-	-	-	-	-	Homo sapiens	Homo sapiens
554894	11315	57459	116446	121529	CTA-215D11.1	RP11-216N14.6	PARK7	GATAD2B	DJ-1|DJ1|HEL-S-67p	MRD18|P66beta|p68	Affinity Capture-MS	physical	Opsahl JA (2010)	PUBMED:20127688	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	Q8WXI9	-	NP_065750	-	-	-	-	-	-	Homo sapiens	Homo sapiens
554895	11315	5928	116446	111863	CTA-215D11.1	-	PARK7	RBBP4	DJ-1|DJ1|HEL-S-67p	NURF55|RBAP48|lin-53	Affinity Capture-MS	physical	Opsahl JA (2010)	PUBMED:20127688	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	Q09028	-	NP_001128728|NP_005601|NP_001128727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
554896	11315	5931	116446	111866	CTA-215D11.1	RP11-716A19.5	PARK7	RBBP7	DJ-1|DJ1|HEL-S-67p	RbAp46	Affinity Capture-MS	physical	Opsahl JA (2010)	PUBMED:20127688	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	Q16576	Q6FHQ0	NP_001185648|NP_002884	-	-	-	-	-	-	Homo sapiens	Homo sapiens
555004	11315	3065	116446	109315	CTA-215D11.1	RP4-811H24.2	PARK7	HDAC1	DJ-1|DJ1|HEL-S-67p	GON-10|HD1|RPD3|RPD3L1	Affinity Capture-Western	physical	Opsahl JA (2010)	PUBMED:20127688	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	Q13547	Q6IT96	NP_004955	-	-	-	-	-	-	Homo sapiens	Homo sapiens
555005	11315	9219	116446	114652	CTA-215D11.1	-	PARK7	MTA2	DJ-1|DJ1|HEL-S-67p	MTA1L1|PID	Affinity Capture-Western	physical	Opsahl JA (2010)	PUBMED:20127688	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	O94776	A0A024R534	NP_001317221|NP_004730	-	-	-	-	-	-	Homo sapiens	Homo sapiens
555006	3065	11315	109315	116446	RP4-811H24.2	CTA-215D11.1	HDAC1	PARK7	GON-10|HD1|RPD3|RPD3L1	DJ-1|DJ1|HEL-S-67p	Affinity Capture-Western	physical	Opsahl JA (2010)	PUBMED:20127688	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13547	Q6IT96	NP_004955	Q99497	V9HWC2	NP_009193|NP_001116849	-	-	-	-	-	-	Homo sapiens	Homo sapiens
561881	11315	7189	116446	113041	CTA-215D11.1	-	PARK7	TRAF6	DJ-1|DJ1|HEL-S-67p	MGC:3310|RNF85	Affinity Capture-Western	physical	Zucchelli S (2010)	PUBMED:20634198	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	Q9Y4K3	-	NP_004611|NP_665802	-	-	-	-	-	-	Homo sapiens	Homo sapiens
561882	7189	11315	113041	116446	-	CTA-215D11.1	TRAF6	PARK7	MGC:3310|RNF85	DJ-1|DJ1|HEL-S-67p	Affinity Capture-Western	physical	Zucchelli S (2010)	PUBMED:20634198	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y4K3	-	NP_004611|NP_665802	Q99497	V9HWC2	NP_009193|NP_001116849	-	-	-	-	-	-	Homo sapiens	Homo sapiens
565161	11315	582	116446	107058	CTA-215D11.1	-	PARK7	BBS1	DJ-1|DJ1|HEL-S-67p	BBS2L2	Affinity Capture-MS	physical	McNally RS (2011)	PUBMED:21097510	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	Q8NFJ9	-	NP_078925	-	-	-	-	-	-	Homo sapiens	Homo sapiens
565162	11315	23529	116446	117075	CTA-215D11.1	-	PARK7	CLCF1	DJ-1|DJ1|HEL-S-67p	BSF-3|BSF3|CISS2|CLC|NNT-1|NNT1|NR6	Affinity Capture-MS	physical	McNally RS (2011)	PUBMED:21097510	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	Q9UBD9	-	NP_037378|NP_001159684	-	-	-	-	-	-	Homo sapiens	Homo sapiens
565163	11315	9617	116446	114978	CTA-215D11.1	RP11-74J13.3	PARK7	MTRF1	DJ-1|DJ1|HEL-S-67p	MRF1|MTTRF1|RF1	Affinity Capture-MS	physical	McNally RS (2011)	PUBMED:21097510	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	O75570	A0A024RDT1	NP_004285	-	-	-	-	-	-	Homo sapiens	Homo sapiens
565164	11315	56957	116446	121281	CTA-215D11.1	RP11-212K13.2	PARK7	OTUD7B	DJ-1|DJ1|HEL-S-67p	CEZANNE|ZA20D1	Affinity Capture-MS	physical	McNally RS (2011)	PUBMED:21097510	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	Q6GQQ9	-	NP_064590	-	-	-	-	-	-	Homo sapiens	Homo sapiens
565165	56957	11315	121281	116446	RP11-212K13.2	CTA-215D11.1	OTUD7B	PARK7	CEZANNE|ZA20D1	DJ-1|DJ1|HEL-S-67p	Affinity Capture-Western	physical	McNally RS (2011)	PUBMED:21097510	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q6GQQ9	-	NP_064590	Q99497	V9HWC2	NP_009193|NP_001116849	-	-	-	-	-	-	Homo sapiens	Homo sapiens
565166	11315	56957	116446	121281	CTA-215D11.1	RP11-212K13.2	PARK7	OTUD7B	DJ-1|DJ1|HEL-S-67p	CEZANNE|ZA20D1	Affinity Capture-Western	physical	McNally RS (2011)	PUBMED:21097510	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	Q6GQQ9	-	NP_064590	-	-	-	-	-	-	Homo sapiens	Homo sapiens
569707	5518	11315	111510	116446	-	CTA-215D11.1	PPP2R1A	PARK7	PP2A-Aalpha|PP2AAALPHA|PR65A	DJ-1|DJ1|HEL-S-67p	Affinity Capture-MS	physical	Sablina AA (2007)	PUBMED:17540176	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P30153	A8K7B7	NP_001350585|NP_055040	Q99497	V9HWC2	NP_009193|NP_001116849	-	-	-	-	-	-	Homo sapiens	Homo sapiens
569717	5519	11315	111511	116446	-	CTA-215D11.1	PPP2R1B	PARK7	PP2A-Abeta|PR65B	DJ-1|DJ1|HEL-S-67p	Affinity Capture-MS	physical	Sablina AA (2007)	PUBMED:17540176	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P30154	-	NP_859051|NP_859050|NP_002707|NP_001171033|NP_001171034	Q99497	V9HWC2	NP_009193|NP_001116849	-	-	-	-	-	-	Homo sapiens	Homo sapiens
591421	11315	598	116446	107070	CTA-215D11.1	RP5-857M17.3	PARK7	BCL2L1	DJ-1|DJ1|HEL-S-67p	BCL-XL/S|BCL2L|BCLX|BCLXL|BCLXS|Bcl-X|PPP1R52|bcl-xL|bcl-xS	Reconstituted Complex	physical	Ren H (2011)	PUBMED:21852238	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	Q07817	Q5TE63	NP_612815|NP_001309171|NP_001309169|NP_001309168|NP_001304850|NP_001182|NP_001304849|NP_001304848	-	-	-	-	-	-	Homo sapiens	Homo sapiens
591422	11315	581	116446	107057	CTA-215D11.1	-	PARK7	BAX	DJ-1|DJ1|HEL-S-67p	BCL2L4	Reconstituted Complex	physical	Ren H (2011)	PUBMED:21852238	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	Q07812	Q5ZPJ0|Q5ZPJ1|I6LPK7	NP_001278357|NP_620118|NP_620119|NP_620116|NP_001278359|NP_001278358|NP_004315|NP_001278360	-	-	-	-	-	-	Homo sapiens	Homo sapiens
591423	598	11315	107070	116446	RP5-857M17.3	CTA-215D11.1	BCL2L1	PARK7	BCL-XL/S|BCL2L|BCLX|BCLXL|BCLXS|Bcl-X|PPP1R52|bcl-xL|bcl-xS	DJ-1|DJ1|HEL-S-67p	Reconstituted Complex	physical	Ren H (2011)	PUBMED:21852238	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q07817	Q5TE63	NP_612815|NP_001309171|NP_001309169|NP_001309168|NP_001304850|NP_001182|NP_001304849|NP_001304848	Q99497	V9HWC2	NP_009193|NP_001116849	-	-	-	-	-	-	Homo sapiens	Homo sapiens
591424	598	11315	107070	116446	RP5-857M17.3	CTA-215D11.1	BCL2L1	PARK7	BCL-XL/S|BCL2L|BCLX|BCLXL|BCLXS|Bcl-X|PPP1R52|bcl-xL|bcl-xS	DJ-1|DJ1|HEL-S-67p	Affinity Capture-Western	physical	Ren H (2011)	PUBMED:21852238	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q07817	Q5TE63	NP_612815|NP_001309171|NP_001309169|NP_001309168|NP_001304850|NP_001182|NP_001304849|NP_001304848	Q99497	V9HWC2	NP_009193|NP_001116849	-	-	-	-	-	-	Homo sapiens	Homo sapiens
657811	4841	11315	110904	116446	-	CTA-215D11.1	NONO	PARK7	NMT55|NRB54|P54|P54NRB|PPP1R114	DJ-1|DJ1|HEL-S-67p	Affinity Capture-Western	physical	Zhang C (2008)	PUBMED:18439917	9606	9606	Low Throughput	-	-	figure 3D.	-	BIOGRID	Q15233	-	NP_001138882|NP_001138880|NP_001138881|NP_031389	Q99497	V9HWC2	NP_009193|NP_001116849	-	-	-	-	-	-	Homo sapiens	Homo sapiens
715409	11315	11315	116446	116446	CTA-215D11.1	CTA-215D11.1	PARK7	PARK7	DJ-1|DJ1|HEL-S-67p	DJ-1|DJ1|HEL-S-67p	Two-hybrid	physical	Bandopadhyay R (2005)	PUBMED:15894486	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	Q99497	V9HWC2	NP_009193|NP_001116849	-	-	-	-	-	-	Homo sapiens	Homo sapiens
717601	11315	11315	116446	116446	CTA-215D11.1	CTA-215D11.1	PARK7	PARK7	DJ-1|DJ1|HEL-S-67p	DJ-1|DJ1|HEL-S-67p	Two-hybrid	physical	Junn E (2005)	PUBMED:15983381	9606	9606	Low Throughput	-	-	#LPPI|Likely protein-protein interaction	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	Q99497	V9HWC2	NP_009193|NP_001116849	-	-	-	-	-	-	Homo sapiens	Homo sapiens
717602	11315	10054	116446	115365	CTA-215D11.1	HRIHFB2115	PARK7	UBA2	DJ-1|DJ1|HEL-S-67p	ARX|SAE2	Two-hybrid	physical	Junn E (2005)	PUBMED:15983381	9606	9606	Low Throughput	-	-	#LPPI|Likely protein-protein interaction	-	BIOGRID	Q99497	V9HWC2	NP_009193|NP_001116849	Q9UBT2	-	NP_005490	-	-	-	-	-	-	Homo sapiens	Homo sapiens
