#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
120735	5071	9319	111105	114730	KB-152G3.1	-	PARK2	TRIP13	AR-JP|LPRS2|PDJ|PRKN	16E1BP	Two-hybrid	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	O60260	X5DR79	NP_054643|NP_054642|NP_004553	Q15645	-	NP_001159732|NP_004228	-	-	-	-	-	-	Homo sapiens	Homo sapiens
253447	5071	5413	111105	111414	KB-152G3.1	-	PARK2	SEPT5	AR-JP|LPRS2|PDJ|PRKN	CDCREL|CDCREL-1|CDCREL1|H5|HCDCREL-1|PNUTL1	Two-hybrid	physical	Choi P (2003)	PUBMED:14559152	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60260	X5DR79	NP_054643|NP_054642|NP_004553	Q99719	X5DNA9	NP_002679|NP_001009939	-	-	-	-	-	-	Homo sapiens	Homo sapiens
253448	5071	5413	111105	111414	KB-152G3.1	-	PARK2	SEPT5	AR-JP|LPRS2|PDJ|PRKN	CDCREL|CDCREL-1|CDCREL1|H5|HCDCREL-1|PNUTL1	Affinity Capture-Western	physical	Choi P (2003)	PUBMED:14559152	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60260	X5DR79	NP_054643|NP_054642|NP_004553	Q99719	X5DNA9	NP_002679|NP_001009939	-	-	-	-	-	-	Homo sapiens	Homo sapiens
253449	5071	5413	111105	111414	KB-152G3.1	-	PARK2	SEPT5	AR-JP|LPRS2|PDJ|PRKN	CDCREL|CDCREL-1|CDCREL1|H5|HCDCREL-1|PNUTL1	Biochemical Activity	physical	Choi P (2003)	PUBMED:14559152	9606	9606	Low Throughput	-	Ubiquitination	-	-	BIOGRID	O60260	X5DR79	NP_054643|NP_054642|NP_004553	Q99719	X5DNA9	NP_002679|NP_001009939	-	-	-	-	-	-	Homo sapiens	Homo sapiens
255598	5071	23208	111105	116815	KB-152G3.1	-	PARK2	SYT11	AR-JP|LPRS2|PDJ|PRKN	SYT12|sytXI	Two-hybrid	physical	Huynh DP (2003)	PUBMED:12925569	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60260	X5DR79	NP_054643|NP_054642|NP_004553	Q9BT88	-	NP_689493	-	-	-	-	-	-	Homo sapiens	Homo sapiens
255599	5071	23208	111105	116815	KB-152G3.1	-	PARK2	SYT11	AR-JP|LPRS2|PDJ|PRKN	SYT12|sytXI	Affinity Capture-Western	physical	Huynh DP (2003)	PUBMED:12925569	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60260	X5DR79	NP_054643|NP_054642|NP_004553	Q9BT88	-	NP_689493	-	-	-	-	-	-	Homo sapiens	Homo sapiens
255600	23208	5071	116815	111105	-	KB-152G3.1	SYT11	PARK2	SYT12|sytXI	AR-JP|LPRS2|PDJ|PRKN	Reconstituted Complex	physical	Huynh DP (2003)	PUBMED:12925569	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9BT88	-	NP_689493	O60260	X5DR79	NP_054643|NP_054642|NP_004553	-	-	-	-	-	-	Homo sapiens	Homo sapiens
258600	5071	7965	111105	113684	KB-152G3.1	PRO0992	PARK2	AIMP2	AR-JP|LPRS2|PDJ|PRKN	JTV-1|JTV1|P38	Affinity Capture-Western	physical	Corti O (2003)	PUBMED:12783850	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60260	X5DR79	NP_054643|NP_054642|NP_004553	Q13155	A0A024QZY1|A8MU58	NP_001313539|NP_001313538|NP_001313536|NP_001313535|NP_001349714|NP_001349716|NP_001313540|NP_006294	-	-	-	-	-	-	Homo sapiens	Homo sapiens
258601	5071	7965	111105	113684	KB-152G3.1	PRO0992	PARK2	AIMP2	AR-JP|LPRS2|PDJ|PRKN	JTV-1|JTV1|P38	Two-hybrid	physical	Corti O (2003)	PUBMED:12783850	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60260	X5DR79	NP_054643|NP_054642|NP_004553	Q13155	A0A024QZY1|A8MU58	NP_001313539|NP_001313538|NP_001313536|NP_001313535|NP_001349714|NP_001349716|NP_001313540|NP_006294	-	-	-	-	-	-	Homo sapiens	Homo sapiens
259951	5071	55294	111105	120581	KB-152G3.1	-	PARK2	FBXW7	AR-JP|LPRS2|PDJ|PRKN	AGO|CDC4|FBW6|FBW7|FBX30|FBXO30|FBXW6|SEL-10|SEL10|hAgo|hCdc4	Affinity Capture-Western	physical	Staropoli JF (2003)	PUBMED:12628165	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60260	X5DR79	NP_054643|NP_054642|NP_004553	Q969H0	S4R3U4|G0Z2K0	NP_001013433|NP_361014|NP_060785|NP_001243998	-	-	-	-	-	-	Homo sapiens	Homo sapiens
