Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
10432	9627	6622	114986	112506	-	-	SNCAIP	SNCA	SYPH1|Sph1	NACP|PARK1|PARK4|PD1	Two-hybrid	physical	Neystat M (2002)	12044636	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
19341	27429	1432	118165	107819	-	RP1-179N16.5	HTRA2	MAPK14	OMI|PARK13|PRSS25	CSBP|CSBP1|CSBP2|CSPB1|EXIP|Mxi2|PRKM14|PRKM15|RK|SAPK2A|p38|p38ALPHA	Two-hybrid	physical	Faccio L (2000)	10644717	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
22503	2887	26058	109144	117520	-	-	GRB10	GIGYF2	GRB-IR|Grb-10|IRBP|MEG1|RSS	GYF2|PARK11|PERQ2|PERQ3|TNRC15	Two-hybrid	physical	Giovannone B (2003)	12771153	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
25271	5564	51422	111551	119531	-	-	PRKAB1	PRKAG2	AMPK|HAMPKb	AAKG|AAKG2|CMH6|H91620p|WPWS	Two-hybrid	physical	Cheung PC (2000)	10698692	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
25273	5565	51422	111552	119531	-	-	PRKAB2	PRKAG2	-	AAKG|AAKG2|CMH6|H91620p|WPWS	Two-hybrid	physical	Cheung PC (2000)	10698692	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
25274	5571	51422	111558	119531	-	-	PRKAG1	PRKAG2	AMPKG	AAKG|AAKG2|CMH6|H91620p|WPWS	Two-hybrid	physical	Cheung PC (2000)	10698692	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
120735	5071	9319	111105	114730	KB-152G3.1	-	PARK2	TRIP13	AR-JP|LPRS2|PDJ|PRKN	16E1BP	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
203465	26574	4137	117743	110308	HSPC277	-	AATF	MAPT	BFR2|CHE-1|CHE1|DED	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	FRET	physical	Barbato C (2003)	14697667	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
241423	1974	1981	108290	108296	-	-	EIF4A2	EIF4G1	BM-010|DDX2B|EIF4A|EIF4F|eIF-4A-II|eIF4A-II	EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.931	-	-	Exogenous expression of bait	-	BIOGRID
241489	51497	1981	119572	108296	HSPC130	-	NELFCD	EIF4G1	NELF-C|NELF-D|TH1|TH1L	EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.609	-	-	Exogenous expression of bait	-	BIOGRID
241587	1973	1981	108289	108296	-	-	EIF4A1	EIF4G1	DDX2A|EIF-4A|EIF4A|eIF-4A-I|eIF4A-I	EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.531	-	-	Exogenous expression of bait	-	BIOGRID
242503	11345	1981	116473	108296	-	-	GABARAPL2	EIF4G1	ATG8|ATG8C|GATE-16|GATE16|GEF-2|GEF2	EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.36	-	-	Exogenous expression of bait	-	BIOGRID
243175	4163	55737	110333	120855	-	TCCCTA00141	MCC	VPS35	MCC1	MEM3|PARK17	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.309	-	-	Exogenous expression of bait	-	BIOGRID
243487	4105	1981	110279	108296	-	-	MAGEA6	EIF4G1	CT1.6|MAGE-3b|MAGE3B|MAGE6	EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	-	-	-	Exogenous expression of bait	-	BIOGRID
253258	57787	4137	121760	110308	-	-	MARK4	MAPT	MARK4L|MARK4S|MARKL1|MARKL1L|PAR-1D	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	Biochemical Activity	physical	Trinczek B (2004)	14594945	9606	9606	Low Throughput	-	Phosphorylation	-	-	-	BIOGRID
253447	5071	5413	111105	111414	KB-152G3.1	-	PARK2	SEPT5	AR-JP|LPRS2|PDJ|PRKN	CDCREL|CDCREL-1|CDCREL1|H5|HCDCREL-1|PNUTL1	Two-hybrid	physical	Choi P (2003)	14559152	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
253448	5071	5413	111105	111414	KB-152G3.1	-	PARK2	SEPT5	AR-JP|LPRS2|PDJ|PRKN	CDCREL|CDCREL-1|CDCREL1|H5|HCDCREL-1|PNUTL1	Affinity Capture-Western	physical	Choi P (2003)	14559152	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
253449	5071	5413	111105	111414	KB-152G3.1	-	PARK2	SEPT5	AR-JP|LPRS2|PDJ|PRKN	CDCREL|CDCREL-1|CDCREL1|H5|HCDCREL-1|PNUTL1	Biochemical Activity	physical	Choi P (2003)	14559152	9606	9606	Low Throughput	-	Ubiquitination	-	-	-	BIOGRID
255198	6812	4137	112681	110308	RP11-56D16.3	-	STXBP1	MAPT	MUNC18-1|NSEC1|P67|RBSEC1|UNC18	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	Affinity Capture-Western	physical	Bhaskar K (2004)	12963086	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
255598	5071	23208	111105	116815	KB-152G3.1	-	PARK2	SYT11	AR-JP|LPRS2|PDJ|PRKN	SYT12|sytXI	Two-hybrid	physical	Huynh DP (2003)	12925569	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
255599	5071	23208	111105	116815	KB-152G3.1	-	PARK2	SYT11	AR-JP|LPRS2|PDJ|PRKN	SYT12|sytXI	Affinity Capture-Western	physical	Huynh DP (2003)	12925569	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
