Interactor_A,Interactor_B
PD,SNCA
PD,PRKN
PD,PINK1
PD,SNCAIP
PD,TMEM175
PD,DNAJC13
PD,GBA
PD,TMEM230
PD,UCHL1
PD,EIF4G1
PD,ATP13A2
PD,CHCHD2
PD,PRKAG2
PD,GIGYF2
PD,FBXO7
PD,DNAJC6
PD,PLA2G6
PD,PARK7
PD,MAPT
PD,VPS35
PD,LRRK2
PD,VPS13C
PD,SYNJ1
PD,HTRA2
SNCA,PRKN
SNCA,PINK1
SNCA,SNCAIP
SNCA,GBA
SNCA,UCHL1
SNCA,PARK7
SNCA,MAPT
SNCA,LRRK2
PRKN,PINK1
PRKN,SNCAIP
PRKN,GBA
PRKN,UCHL1
PRKN,EIF4G1
PRKN,FBXO7
PRKN,PARK7
PRKN,MAPT
PRKN,VPS35
PRKN,LRRK2
PRKN,VPS13C
PRKN,HTRA2
PINK1,SNCAIP
PINK1,FBXO7
PINK1,PARK7
PINK1,HTRA2
GBA,VPS13C
UCHL1,PARK7
UCHL1,LRRK2
EIF4G1,GIGYF2
EIF4G1,FBXO7
EIF4G1,HTRA2
CHCHD2,FBXO7
PARK7,LRRK2
MAPT,LRRK2
LRRK2,SYNJ1
APP,SNCA
PTEN,PINK1
APOE,MAPT
SQSTM1,MAPT
SQSTM1,SNCA
PTEN,PARK7
TMEM175,APP
VPS35,APP
APP,MAPT
APP,UCHL1
SQSTM1,LRRK2
SQSTM1,PARK7
SQSTM1,PINK1
APP,APOE
APOE,SNCA
APP,LRRK2
SQSTM1,SYNJ1
SQSTM1,UCHL1
