Interaction ID,Gene A ID,Gene A name,Gene B ID,Gene B name
289199,351,APP,6622,SNCA
303403,4137,MAPT,348,APOE
555980,5071,PARK2,351,APP
589456,5728,PTEN,65018,PINK1
615775,348,APOE,4137,MAPT
669252,4137,MAPT,8878,SQSTM1
669255,8878,SQSTM1,4137,MAPT
679852,8878,SQSTM1,6622,SNCA
726030,6622,SNCA,351,APP
727602,351,APP,6622,SNCA
727603,6622,SNCA,351,APP
727606,6622,SNCA,351,APP
727792,5071,PARK2,351,APP
728555,11315,PARK7,5728,PTEN
728556,5728,PTEN,11315,PARK7
735966,11315,PARK7,5728,PTEN
735967,11315,PARK7,5728,PTEN
739666,6622,SNCA,351,APP
739706,84286,TMEM175,351,APP
739783,55737,VPS35,351,APP
855910,5071,PARK2,8878,SQSTM1
1059613,351,APP,4137,MAPT
1059614,351,APP,4137,MAPT
1415345,8878,SQSTM1,4137,MAPT
1504978,6622,SNCA,351,APP
1505335,5071,PARK2,8878,SQSTM1
1505336,8878,SQSTM1,5071,PARK2
1505337,5071,PARK2,8878,SQSTM1
1505340,5071,PARK2,8878,SQSTM1
1505352,351,APP,7345,UCHL1
1510528,8878,SQSTM1,5071,PARK2
2208448,120892,LRRK2,8878,SQSTM1
2208449,8878,SQSTM1,120892,LRRK2
2451950,8878,SQSTM1,5071,PARK2
2497844,11315,PARK7,8878,SQSTM1
2497847,8878,SQSTM1,11315,PARK7
2532790,4137,MAPT,8878,SQSTM1
2574979,120892,LRRK2,8878,SQSTM1
2574984,8878,SQSTM1,120892,LRRK2
2574985,120892,LRRK2,8878,SQSTM1
2574986,120892,LRRK2,8878,SQSTM1
2632448,5728,PTEN,5071,PARK2
2632449,5728,PTEN,11315,PARK7
2635264,65018,PINK1,8878,SQSTM1
2635267,8878,SQSTM1,65018,PINK1
2648242,351,APP,4137,MAPT
2690530,351,APP,348,APOE
2691898,6622,SNCA,348,APOE
2691901,348,APOE,6622,SNCA
2752819,65018,PINK1,8878,SQSTM1
2752988,6622,SNCA,8878,SQSTM1
2768099,6622,SNCA,8878,SQSTM1
2811458,4137,MAPT,351,APP
2811461,351,APP,4137,MAPT
2882795,11315,PARK7,5728,PTEN
2890147,120892,LRRK2,351,APP
2890148,351,APP,120892,LRRK2
2890149,120892,LRRK2,351,APP
2909147,6622,SNCA,348,APOE
2909153,6622,SNCA,348,APOE
2909154,348,APOE,6622,SNCA
3007007,8878,SQSTM1,8867,SYNJ1
3007054,8878,SQSTM1,7345,UCHL1
3201881,348,APOE,351,APP
3339693,348,APOE,351,APP
3402509,5071,PARK2,2896,GRN
3464124,5071,PARK2,8878,SQSTM1
3464322,5071,PARK2,5728,PTEN
3486386,65018,PINK1,8878,SQSTM1
