#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
571334	4734	2629	110811	108899	PIG53	-	NEDD4	GBA	NEDD4-1|RPF1	GBA1|GCB|GLUC	Biochemical Activity	physical	Persaud A (2009)	PUBMED:19953087	9606	9606	High Throughput	-	Ubiquitination	High Throughput: A ubiquitination assay was applied to a protein microarray in order to identify substrates of the E3 enzyme Nedd4.  The reaction contained E1,  UbcH5b [E2], and FITC-labelled ubiquitin.|High Throughput: Only those proteins that showed four independent interactions were considered substrates (i.e. significant signals found for proteins printed in duplicate on two separate microarrays).  The top ~50 hits were selected as high-confidence data sets.	-	BIOGRID	P46934	-	NP_006145|NP_001271267|NP_001316141|NP_001271268|NP_001271269|NP_940682	P04062	B7Z6S9|A0A068F658	NP_001165282|NP_001165283|NP_001005742|NP_000148|NP_001005741	-	-	-	-	-	-	Homo sapiens	Homo sapiens
604177	2629	3320	108899	109552	-	-	GBA	HSP90AA1	GBA1|GCB|GLUC	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Affinity Capture-Western	physical	Lu J (2011)	PUBMED:22160715	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04062	B7Z6S9|A0A068F658	NP_001165282|NP_001165283|NP_001005742|NP_000148|NP_001005741	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	-	-	-	-	-	-	Homo sapiens	Homo sapiens
604178	2629	3308	108899	109540	-	-	GBA	HSPA4	GBA1|GCB|GLUC	APG-2|HEL-S-5a|HS24/P52|HSPH2|RY|hsp70|hsp70RY	Affinity Capture-Western	physical	Lu J (2011)	PUBMED:22160715	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04062	B7Z6S9|A0A068F658	NP_001165282|NP_001165283|NP_001005742|NP_000148|NP_001005741	P34932	-	NP_002145	-	-	-	-	-	-	Homo sapiens	Homo sapiens
604179	2629	6950	108899	112810	-	-	GBA	TCP1	GBA1|GCB|GLUC	CCT-alpha|CCT1|CCTa|D6S230E|TCP-1-alpha	Affinity Capture-Western	physical	Lu J (2011)	PUBMED:22160715	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04062	B7Z6S9|A0A068F658	NP_001165282|NP_001165283|NP_001005742|NP_000148|NP_001005741	P17987	E7EQR6	NP_110379|NP_001008897	-	-	-	-	-	-	Homo sapiens	Homo sapiens
608393	2629	5071	108899	111105	-	KB-152G3.1	GBA	PARK2	GBA1|GCB|GLUC	AR-JP|LPRS2|PDJ|PRKN	Affinity Capture-Western	physical	Ron I (2010)	PUBMED:20643691	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04062	B7Z6S9|A0A068F658	NP_001165282|NP_001165283|NP_001005742|NP_000148|NP_001005741	O60260	X5DR79	NP_054643|NP_054642|NP_004553	-	-	-	-	-	-	Homo sapiens	Homo sapiens
608394	5071	2629	111105	108899	KB-152G3.1	-	PARK2	GBA	AR-JP|LPRS2|PDJ|PRKN	GBA1|GCB|GLUC	Affinity Capture-Western	physical	Ron I (2010)	PUBMED:20643691	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60260	X5DR79	NP_054643|NP_054642|NP_004553	P04062	B7Z6S9|A0A068F658	NP_001165282|NP_001165283|NP_001005742|NP_000148|NP_001005741	-	-	-	-	-	-	Homo sapiens	Homo sapiens
679239	2629	6950	108899	112810	-	-	GBA	TCP1	GBA1|GCB|GLUC	CCT-alpha|CCT1|CCTa|D6S230E|TCP-1-alpha	Affinity Capture-Western	physical	Lu J (2010)	PUBMED:21098288	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04062	B7Z6S9|A0A068F658	NP_001165282|NP_001165283|NP_001005742|NP_000148|NP_001005741	P17987	E7EQR6	NP_110379|NP_001008897	-	-	-	-	-	-	Homo sapiens	Homo sapiens
679240	2629	867	108899	107315	-	-	GBA	CBL	GBA1|GCB|GLUC	C-CBL|CBL2|FRA11B|NSLL|RNF55	Affinity Capture-Western	physical	Lu J (2010)	PUBMED:21098288	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04062	B7Z6S9|A0A068F658	NP_001165282|NP_001165283|NP_001005742|NP_000148|NP_001005741	P22681	-	NP_005179	-	-	-	-	-	-	Homo sapiens	Homo sapiens
679241	6950	2629	112810	108899	-	-	TCP1	GBA	CCT-alpha|CCT1|CCTa|D6S230E|TCP-1-alpha	GBA1|GCB|GLUC	Affinity Capture-Western	physical	Lu J (2010)	PUBMED:21098288	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P17987	E7EQR6	NP_110379|NP_001008897	P04062	B7Z6S9|A0A068F658	NP_001165282|NP_001165283|NP_001005742|NP_000148|NP_001005741	-	-	-	-	-	-	Homo sapiens	Homo sapiens
729046	26270	2629	117654	108899	RP3-330O12.3	-	FBXO6	GBA	FBG2|FBS2|FBX6|Fbx6b	GBA1|GCB|GLUC	Affinity Capture-MS	physical	Liu B (2012)	PUBMED:22268729	9606	9606	High Throughput	-	-	exogenous expression of bait	-	BIOGRID	Q9NRD1	-	NP_060908	P04062	B7Z6S9|A0A068F658	NP_001165282|NP_001165283|NP_001005742|NP_000148|NP_001005741	DOID:3702|BTO:0000567	cervical adenocarcinoma|HeLa cell	disease|cell line	-|-	-|-	-|-	Homo sapiens	Homo sapiens
