#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
1185917	85329	54832	124475	120186	-	-	LGALS12	VPS13C	GAL12|GRIP1	-	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.999996822	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.999996822, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	Q96DT0	-	NP_001136008|NP_149092|NP_001136010|NP_001136009|NP_001136007	Q709C8	-	NP_060550|NP_060154|NP_001018098|NP_065872	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1195860	23197	54832	116806	120186	-	-	FAF2	VPS13C	ETEA|UBXD8|UBXN3B	-	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.998208553	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.998208553, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	Q96CS3	-	NP_055428	Q709C8	-	NP_060550|NP_060154|NP_001018098|NP_065872	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1196929	23190	54832	116799	120186	-	-	UBXN4	VPS13C	UBXD2|UBXDC1|erasin	-	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.999955324	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.999955324, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	Q92575	-	NP_055422	Q709C8	-	NP_060550|NP_060154|NP_001018098|NP_065872	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1454036	7266	54832	113117	120186	-	-	DNAJC7	VPS13C	DJ11|DJC7|TPR2|TTC2	-	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	9606	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	Q99615	-	NP_001138238|NP_003306	Q709C8	-	NP_060550|NP_060154|NP_001018098|NP_065872	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1517251	23190	54832	116799	120186	-	-	UBXN4	VPS13C	UBXD2|UBXDC1|erasin	-	Affinity Capture-MS	physical	Raman M (2015)	PUBMED:26389662	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q92575	-	NP_055422	Q709C8	-	NP_060550|NP_060154|NP_001018098|NP_065872	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2224992	85329	54832	124475	120186	-	-	LGALS12	VPS13C	GAL12|GRIP1	-	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.999961974	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.999961974, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	Q96DT0	-	NP_001136008|NP_149092|NP_001136010|NP_001136009|NP_001136007	Q709C8	-	NP_060550|NP_060154|NP_001018098|NP_065872	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2226482	127544	54832	126065	120186	-	-	RNF19B	VPS13C	IBRDC3|NKLAM	-	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.999914358	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.999914358, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	Q6ZMZ0	-	NP_001287755|NP_001120833|NP_699172	Q709C8	-	NP_060550|NP_060154|NP_001018098|NP_065872	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2226975	23190	54832	116799	120186	-	-	UBXN4	VPS13C	UBXD2|UBXDC1|erasin	-	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.99988769	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.99988769, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	Q92575	-	NP_055422	Q709C8	-	NP_060550|NP_060154|NP_001018098|NP_065872	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2232757	9367	54832	114768	120186	-	-	RAB9A	VPS13C	RAB9	-	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.99882438	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.99882438, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	P51151	A0A024RBV5	NP_004242|NP_001182257	Q709C8	-	NP_060550|NP_060154|NP_001018098|NP_065872	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2234835	51124	54832	119311	120186	HSPC039	-	IER3IP1	VPS13C	MEDS|PRO2309	-	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.997769546	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.997769546, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	Q9Y5U9	-	NP_057181	Q709C8	-	NP_060550|NP_060154|NP_001018098|NP_065872	-	-	-	-	-	-	Homo sapiens	Homo sapiens
