#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
270210	10951	7345	116151	113192	-	-	CBX1	UCHL1	CBX|HP1-BETA|HP1Hs-beta|HP1Hsbeta|M31|MOD1|p25beta	HEL-117|NDGOA|PARK5|PGP 9.5|PGP9.5|PGP95|Uch-L1	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	2.0	-	-	-	BIOGRID	P83916	Q6IBN6	NP_006798|NP_001120700	P09936	V9HW74	NP_004172	-	-	-	-	-	-	Homo sapiens	Homo sapiens
270560	4738	7345	110815	113192	-	-	NEDD8	UCHL1	NEDD-8	HEL-117|NDGOA|PARK5|PGP 9.5|PGP9.5|PGP95|Uch-L1	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	2.0	-	#LPPI|Likely protein-protein interaction	-	BIOGRID	Q15843	-	NP_006147	P09936	V9HW74	NP_004172	-	-	-	-	-	-	Homo sapiens	Homo sapiens
270894	7316	7345	113164	113192	-	-	UBC	UCHL1	HMG20	HEL-117|NDGOA|PARK5|PGP 9.5|PGP9.5|PGP95|Uch-L1	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	2.0	-	#LPPI|Likely protein-protein interaction	-	BIOGRID	P0CG48	-	NP_066289	P09936	V9HW74	NP_004172	-	-	-	-	-	-	Homo sapiens	Homo sapiens
274834	7345	7329	113192	113177	-	LA16c-358B7.1	UCHL1	UBE2I	HEL-117|NDGOA|PARK5|PGP 9.5|PGP9.5|PGP95|Uch-L1	C358B7.1|P18|UBC9	Two-hybrid	physical	Caballero OL (2002)	PUBMED:12082530	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P09936	V9HW74	NP_004172	P63279	B0QYN7|A8K503	NP_003336|NP_919236|NP_919237|NP_919235	-	-	-	-	-	-	Homo sapiens	Homo sapiens
274835	7345	10048	113192	115359	-	-	UCHL1	RANBP9	HEL-117|NDGOA|PARK5|PGP 9.5|PGP9.5|PGP95|Uch-L1	BPM-L|BPM90|RANBPM|RanBP7	Two-hybrid	physical	Caballero OL (2002)	PUBMED:12082530	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P09936	V9HW74	NP_004172	Q96S59	A0A024QZW3	NP_005484	-	-	-	-	-	-	Homo sapiens	Homo sapiens
274836	7345	10987	113192	116183	-	-	UCHL1	COPS5	HEL-117|NDGOA|PARK5|PGP 9.5|PGP9.5|PGP95|Uch-L1	CSN5|JAB1|MOV-34|SGN5	Two-hybrid	physical	Caballero OL (2002)	PUBMED:12082530	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P09936	V9HW74	NP_004172	Q92905	A0A024R7W9	NP_006828	-	-	-	-	-	-	Homo sapiens	Homo sapiens
274837	10987	7345	116183	113192	-	-	COPS5	UCHL1	CSN5|JAB1|MOV-34|SGN5	HEL-117|NDGOA|PARK5|PGP 9.5|PGP9.5|PGP95|Uch-L1	Affinity Capture-Western	physical	Caballero OL (2002)	PUBMED:12082530	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92905	A0A024R7W9	NP_006828	P09936	V9HW74	NP_004172	-	-	-	-	-	-	Homo sapiens	Homo sapiens
274839	1027	7345	107461	113192	-	-	CDKN1B	UCHL1	CDKN4|KIP1|MEN1B|MEN4|P27KIP1	HEL-117|NDGOA|PARK5|PGP 9.5|PGP9.5|PGP95|Uch-L1	Affinity Capture-Western	physical	Caballero OL (2002)	PUBMED:12082530	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P46527	Q6I9V6	NP_004055	P09936	V9HW74	NP_004172	-	-	-	-	-	-	Homo sapiens	Homo sapiens
327690	7345	7157	113192	113010	-	-	UCHL1	TP53	HEL-117|NDGOA|PARK5|PGP 9.5|PGP9.5|PGP95|Uch-L1	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Yu J (2008)	PUBMED:18666234	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P09936	V9HW74	NP_004172	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
423119	7345	3851	113192	110049	-	-	UCHL1	KRT4	HEL-117|NDGOA|PARK5|PGP 9.5|PGP9.5|PGP95|Uch-L1	CK-4|CK4|CYK4|K4|WSN1	Affinity Capture-MS	physical	Sowa ME (2009)	PUBMED:19615732	9606	9606	High Throughput	1.45	-	exogenous expression of bait	-	BIOGRID	P09936	V9HW74	NP_004172	-	B4DRS2	NP_002263	BTO:0000007	HEK-293 cell	cell line	BTO:0000414	epithelial cell	-	Homo sapiens	Homo sapiens
423125	7345	3872	113192	110070	-	-	UCHL1	KRT17	HEL-117|NDGOA|PARK5|PGP 9.5|PGP9.5|PGP95|Uch-L1	K17|PC|PC2|PCHC1	Affinity Capture-MS	physical	Sowa ME (2009)	PUBMED:19615732	9606	9606	High Throughput	1.36	-	exogenous expression of bait	-	BIOGRID	P09936	V9HW74	NP_004172	Q04695	Q14666	NP_000413	BTO:0000007	HEK-293 cell	cell line	BTO:0000414	epithelial cell	-	Homo sapiens	Homo sapiens
423414	27005	7345	117950	113192	RP11-297K8.3	-	USP21	UCHL1	USP16|USP23	HEL-117|NDGOA|PARK5|PGP 9.5|PGP9.5|PGP95|Uch-L1	Affinity Capture-MS	physical	Sowa ME (2009)	PUBMED:19615732	9606	9606	High Throughput	18.1	-	exogenous expression of bait	-	BIOGRID	Q9UK80	-	NP_001014443|NP_036607|NP_001306777|NP_001306776	P09936	V9HW74	NP_004172	BTO:0000007	HEK-293 cell	cell line	BTO:0000414	epithelial cell	-	Homo sapiens	Homo sapiens
424219	7345	64770	113192	122281	-	-	UCHL1	CCDC14	HEL-117|NDGOA|PARK5|PGP 9.5|PGP9.5|PGP95|Uch-L1	-	Affinity Capture-MS	physical	Sowa ME (2009)	PUBMED:19615732	9606	9606	High Throughput	6.27	-	exogenous expression of bait	-	BIOGRID	P09936	V9HW74	NP_004172	Q49A88	-	NP_073594|NP_001353268|NP_001353267|NP_001353266|NP_001353265|NP_001353264|NP_001295246	BTO:0000007	HEK-293 cell	cell line	BTO:0000414	epithelial cell	-	Homo sapiens	Homo sapiens
437517	1956	7345	108276	113192	-	-	EGFR	UCHL1	ERBB|ERBB1|HER1|NISBD2|PIG61|mENA	HEL-117|NDGOA|PARK5|PGP 9.5|PGP9.5|PGP95|Uch-L1	PCA	physical	Deribe YL (2009)	PUBMED:20029029	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P00533	-	NP_001333829|NP_001333828|NP_958440|NP_005219|NP_001333827|NP_001333826|NP_958441|NP_001333870|NP_958439	P09936	V9HW74	NP_004172	-	-	-	-	-	-	Homo sapiens	Homo sapiens
555673	7345	1499	113192	107880	-	OK/SW-cl.35	UCHL1	CTNNB1	HEL-117|NDGOA|PARK5|PGP 9.5|PGP9.5|PGP95|Uch-L1	CTNNB|MRD19|armadillo	Affinity Capture-Western	physical	Bheda A (2009)	PUBMED:19536331	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P09936	V9HW74	NP_004172	P35222	B4DGU4|A0A024R2Q3	NP_001091680|NP_001091679|NP_001895|NP_001317658	-	-	-	-	-	-	Homo sapiens	Homo sapiens
572452	6606	7345	112490	113192	-	-	SMN1	UCHL1	BCD541|GEMIN1|SMA|SMA1|SMA2|SMA3|SMA4|SMA@|SMN|SMNT|T-BCD541|TDRD16A	HEL-117|NDGOA|PARK5|PGP 9.5|PGP9.5|PGP95|Uch-L1	Affinity Capture-Western	physical	Hsu SH (2010)	PUBMED:20713032	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q16637	-	NP_075012|NP_001284644|NP_000335	P09936	V9HW74	NP_004172	-	-	-	-	-	-	Homo sapiens	Homo sapiens
