#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
10432	9627	6622	114986	112506	-	-	SNCAIP	SNCA	SYPH1|Sph1	NACP|PARK1|PARK4|PD1	Two-hybrid	physical	Neystat M (2002)	PUBMED:12044636	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y6H5	Q9NVG1	NP_001295034|NP_005451|NP_001295029|NP_001229864	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269959	9627	51608	114986	119636	-	CGI-20	SNCAIP	GET4	SYPH1|Sph1	C7orf20|CEE|TRC35	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q9Y6H5	Q9NVG1	NP_001295034|NP_005451|NP_001295029|NP_001229864	Q7L5D6	-	NP_057033	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269960	9627	10044	114986	115355	-	RP11-56D16.1	SNCAIP	SH2D3C	SYPH1|Sph1	CHAT|NSP3|PRO34088|SHEP1	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q9Y6H5	Q9NVG1	NP_001295034|NP_005451|NP_001295029|NP_001229864	Q8N5H7	B4DG32	NP_001239263|NP_001136003|NP_001136004|NP_001136005|NP_001136006|NP_005480|NP_733745	-	-	-	-	-	-	Homo sapiens	Homo sapiens
270790	9627	5764	114986	111731	-	-	SNCAIP	PTN	SYPH1|Sph1	HARP|HBGF8|HBNF|NEGF1	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	2.0	-	-	-	BIOGRID	Q9Y6H5	Q9NVG1	NP_001295034|NP_005451|NP_001295029|NP_001229864	P21246	A0A024R778	NP_002816	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280842	9627	6622	114986	112506	-	-	SNCAIP	SNCA	SYPH1|Sph1	NACP|PARK1|PARK4|PD1	FRET	physical	Kawamata H (2001)	PUBMED:11331421	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y6H5	Q9NVG1	NP_001295034|NP_005451|NP_001295029|NP_001229864	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	-	-	-	-	-	-	Homo sapiens	Homo sapiens
288274	6622	9627	112506	114986	-	-	SNCA	SNCAIP	NACP|PARK1|PARK4|PD1	SYPH1|Sph1	Two-hybrid	physical	Engelender S (1999)	PUBMED:10319874	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	Q9Y6H5	Q9NVG1	NP_001295034|NP_005451|NP_001295029|NP_001229864	-	-	-	-	-	-	Homo sapiens	Homo sapiens
288275	6622	9627	112506	114986	-	-	SNCA	SNCAIP	NACP|PARK1|PARK4|PD1	SYPH1|Sph1	Reconstituted Complex	physical	Engelender S (1999)	PUBMED:10319874	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	Q9Y6H5	Q9NVG1	NP_001295034|NP_005451|NP_001295029|NP_001229864	-	-	-	-	-	-	Homo sapiens	Homo sapiens
288276	9627	6622	114986	112506	-	-	SNCAIP	SNCA	SYPH1|Sph1	NACP|PARK1|PARK4|PD1	Affinity Capture-Western	physical	Engelender S (1999)	PUBMED:10319874	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y6H5	Q9NVG1	NP_001295034|NP_005451|NP_001295029|NP_001229864	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	-	-	-	-	-	-	Homo sapiens	Homo sapiens
317319	5071	9627	111105	114986	KB-152G3.1	-	PARK2	SNCAIP	AR-JP|LPRS2|PDJ|PRKN	SYPH1|Sph1	Affinity Capture-Western	physical	Chung KK (2001)	PUBMED:11590439	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60260	X5DR79	NP_054643|NP_054642|NP_004553	Q9Y6H5	Q9NVG1	NP_001295034|NP_005451|NP_001295029|NP_001229864	-	-	-	-	-	-	Homo sapiens	Homo sapiens
317321	9627	5071	114986	111105	-	KB-152G3.1	SNCAIP	PARK2	SYPH1|Sph1	AR-JP|LPRS2|PDJ|PRKN	Affinity Capture-Western	physical	Chung KK (2001)	PUBMED:11590439	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y6H5	Q9NVG1	NP_001295034|NP_005451|NP_001295029|NP_001229864	O60260	X5DR79	NP_054643|NP_054642|NP_004553	-	-	-	-	-	-	Homo sapiens	Homo sapiens
