#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
241423	1974	1981	108290	108296	-	-	EIF4A2	EIF4G1	BM-010|DDX2B|EIF4A|EIF4F|eIF-4A-II|eIF4A-II	EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.931	-	Exogenous expression of bait	-	BIOGRID	Q14240	-	NP_001958	Q04637	B2RU10|B4DSI9|B2RU06|Q96I65|O95065	NP_886553|NP_001181876|NP_001181875|NP_004944|NP_001278086|NP_937885|NP_937884|NP_937887	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
241489	51497	1981	119572	108296	HSPC130	-	NELFCD	EIF4G1	NELF-C|NELF-D|TH1|TH1L	EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.609	-	Exogenous expression of bait	-	BIOGRID	Q8IXH7	H0UI80	NP_945327	Q04637	B2RU10|B4DSI9|B2RU06|Q96I65|O95065	NP_886553|NP_001181876|NP_001181875|NP_004944|NP_001278086|NP_937885|NP_937884|NP_937887	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
241587	1973	1981	108289	108296	-	-	EIF4A1	EIF4G1	DDX2A|EIF-4A|EIF4A|eIF-4A-I|eIF4A-I	EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.531	-	Exogenous expression of bait	-	BIOGRID	P60842	-	NP_001191439|NP_001407	Q04637	B2RU10|B4DSI9|B2RU06|Q96I65|O95065	NP_886553|NP_001181876|NP_001181875|NP_004944|NP_001278086|NP_937885|NP_937884|NP_937887	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
242503	11345	1981	116473	108296	-	-	GABARAPL2	EIF4G1	ATG8|ATG8C|GATE-16|GATE16|GEF-2|GEF2	EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.36	-	Exogenous expression of bait	-	BIOGRID	P60520	-	NP_009216	Q04637	B2RU10|B4DSI9|B2RU06|Q96I65|O95065	NP_886553|NP_001181876|NP_001181875|NP_004944|NP_001278086|NP_937885|NP_937884|NP_937887	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
243487	4105	1981	110279	108296	-	-	MAGEA6	EIF4G1	CT1.6|MAGE-3b|MAGE3B|MAGE6	EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	-	-	Exogenous expression of bait	-	BIOGRID	P43360	-	NP_787064|NP_005354	Q04637	B2RU10|B4DSI9|B2RU06|Q96I65|O95065	NP_886553|NP_001181876|NP_001181875|NP_004944|NP_001278086|NP_937885|NP_937884|NP_937887	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
255789	2872	1981	109130	108296	-	-	MKNK2	EIF4G1	GPRK7|MNK2	EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18	Affinity Capture-Western	physical	Scheper GC (2003)	PUBMED:12897141	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9HBH9	B3KS07	NP_060042|NP_951009	Q04637	B2RU10|B4DSI9|B2RU06|Q96I65|O95065	NP_886553|NP_001181876|NP_001181875|NP_004944|NP_001278086|NP_937885|NP_937884|NP_937887	-	-	-	-	-	-	Homo sapiens	Homo sapiens
255790	2872	1981	109130	108296	-	-	MKNK2	EIF4G1	GPRK7|MNK2	EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18	Biochemical Activity	physical	Scheper GC (2003)	PUBMED:12897141	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	Q9HBH9	B3KS07	NP_060042|NP_951009	Q04637	B2RU10|B4DSI9|B2RU06|Q96I65|O95065	NP_886553|NP_001181876|NP_001181875|NP_004944|NP_001278086|NP_937885|NP_937884|NP_937887	-	-	-	-	-	-	Homo sapiens	Homo sapiens
278555	27250	1981	118098	108296	RP11-348N5.4	-	PDCD4	EIF4G1	H731	EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18	Affinity Capture-Western	physical	Kang MJ (2002)	PUBMED:12054647	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q53EL6	B4DKX4	NP_001186421|NP_055271|NP_663314	Q04637	B2RU10|B4DSI9|B2RU06|Q96I65|O95065	NP_886553|NP_001181876|NP_001181875|NP_004944|NP_001278086|NP_937885|NP_937884|NP_937887	-	-	-	-	-	-	Homo sapiens	Homo sapiens
279898	1977	1981	108292	108296	-	-	EIF4E	EIF4G1	AUTS19|CBP|EIF4E1|EIF4EL1|EIF4F	EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18	Affinity Capture-Western	physical	Vary TC (1999)	PUBMED:10600798	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P06730	Q32Q75|X5D7E3|D6RBW1	NP_001317946|NP_001959|NP_001124151|NP_001124150	Q04637	B2RU10|B4DSI9|B2RU06|Q96I65|O95065	NP_886553|NP_001181876|NP_001181875|NP_004944|NP_001278086|NP_937885|NP_937884|NP_937887	-	-	-	-	-	-	Homo sapiens	Homo sapiens
282129	1977	1981	108292	108296	-	-	EIF4E	EIF4G1	AUTS19|CBP|EIF4E1|EIF4EL1|EIF4F	EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18	Far Western	physical	Mader S (1995)	PUBMED:7651417	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P06730	Q32Q75|X5D7E3|D6RBW1	NP_001317946|NP_001959|NP_001124151|NP_001124150	Q04637	B2RU10|B4DSI9|B2RU06|Q96I65|O95065	NP_886553|NP_001181876|NP_001181875|NP_004944|NP_001278086|NP_937885|NP_937884|NP_937887	-	-	-	-	-	-	Homo sapiens	Homo sapiens
