#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
876435	9531	8398	114907	113986	-	CTA-228A9.2	BAG3	PLA2G6	BAG-3|BIS|CAIR-1|MFM6	CaI-PLA2|GVI|INAD1|IPLA2-VIA|NBIA2|NBIA2A|NBIA2B|PARK14|PLA2|PNPLA9|iPLA2|iPLA2beta	Affinity Capture-Luminescence	physical	Chen Y (2013)	PUBMED:23824909	9606	9606	High Throughput	-	-	-	-	BIOGRID	O95817	-	NP_004272	O60733	A8K460	NP_001336793|NP_001336794|NP_001336795|NP_001186491|NP_003551|NP_001004426	-	-	-	-	-	-	Homo sapiens	Homo sapiens
914595	8398	8398	113986	113986	CTA-228A9.2	CTA-228A9.2	PLA2G6	PLA2G6	CaI-PLA2|GVI|INAD1|IPLA2-VIA|NBIA2|NBIA2A|NBIA2B|PARK14|PLA2|PNPLA9|iPLA2|iPLA2beta	CaI-PLA2|GVI|INAD1|IPLA2-VIA|NBIA2|NBIA2A|NBIA2B|PARK14|PLA2|PNPLA9|iPLA2|iPLA2beta	Affinity Capture-Western	physical	Manguikian AD (2004)	PUBMED:15385540	9606	9606	Low Throughput	-	-	(Hamster gene name/identifier not available at time of curation) Figure 7|Full-length HAMSTER PLA2G6 interacted with a shorter isorform, ankyrin-iPLA2 in transfected CHO cells|Isoforms (Uniprot IDs): O60733-1 interacts with O60733-4	-	BIOGRID	O60733	A8K460	NP_001336793|NP_001336794|NP_001336795|NP_001186491|NP_003551|NP_001004426	O60733	A8K460	NP_001336793|NP_001336794|NP_001336795|NP_001186491|NP_003551|NP_001004426	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1526243	8398	11840	113986	198184	CTA-228A9.2	RP23-192P17.1	PLA2G6	Arf1	CaI-PLA2|GVI|INAD1|IPLA2-VIA|NBIA2|NBIA2A|NBIA2B|PARK14|PLA2|PNPLA9|iPLA2|iPLA2beta	-	Affinity Capture-Western	physical	Ben-Tekaya H (2010)	PUBMED:20881058	9606	10090	Low Throughput	-	-	Figure 5	-	BIOGRID	O60733	A8K460	NP_001336793|NP_001336794|NP_001336795|NP_001186491|NP_003551|NP_001004426	P84078	-	NP_031502|NP_001123880	-	-	-	-	-	-	Homo sapiens	Mus musculus
1535086	801	8398	107252	113986	-	CTA-228A9.2	CALM1	PLA2G6	CALML2|CAMI|CPVT4|DD132|PHKD|caM	CaI-PLA2|GVI|INAD1|IPLA2-VIA|NBIA2|NBIA2A|NBIA2B|PARK14|PLA2|PNPLA9|iPLA2|iPLA2beta	Reconstituted Complex	physical	Jenkins CM (2001)	PUBMED:11118454	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P62158	B4DJ51|E7ETZ0	NP_001350598|NP_001350599|NP_008819	O60733	A8K460	NP_001336793|NP_001336794|NP_001336795|NP_001186491|NP_003551|NP_001004426	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2397920	3191	8398	109432	113986	P/OKcl.14	CTA-228A9.2	HNRNPL	PLA2G6	HNRPL|hnRNP-L	CaI-PLA2|GVI|INAD1|IPLA2-VIA|NBIA2|NBIA2A|NBIA2B|PARK14|PLA2|PNPLA9|iPLA2|iPLA2beta	Affinity Capture-RNA	physical	Fei T (2017)	PUBMED:28611215	9606	9606	High Throughput	-	-	-	-	BIOGRID	P14866	Q6NTA2	NP_001524|NP_001005335|NP_001372580	O60733	A8K460	NP_001336793|NP_001336794|NP_001336795|NP_001186491|NP_003551|NP_001004426	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2463583	55662	8398	120794	113986	-	CTA-228A9.2	HIF1AN	PLA2G6	FIH1	CaI-PLA2|GVI|INAD1|IPLA2-VIA|NBIA2|NBIA2A|NBIA2B|PARK14|PLA2|PNPLA9|iPLA2|iPLA2beta	Affinity Capture-MS	physical	Rodriguez J (2016)	PUBMED:26972000	9606	9606	High Throughput	-	-	Source of HIF1AN not clear	-	BIOGRID	Q9NWT6	-	NP_060372	O60733	A8K460	NP_001336793|NP_001336794|NP_001336795|NP_001186491|NP_003551|NP_001004426	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2696141	27430	8398	118166	113986	MSTP045	CTA-228A9.2	MAT2B	PLA2G6	MAT-II|MATIIbeta|Nbla02999|SDR23E1|TGR	CaI-PLA2|GVI|INAD1|IPLA2-VIA|NBIA2|NBIA2A|NBIA2B|PARK14|PLA2|PNPLA9|iPLA2|iPLA2beta	Two-hybrid	physical	Luck K (2020)	PUBMED:32296183	9606	9606	High Throughput	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID	Q9NZL9	-	NP_037415|NP_877725	O60733	A8K460	NP_001336793|NP_001336794|NP_001336795|NP_001186491|NP_003551|NP_001004426	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2707000	79959	8398	123028	113986	-	CTA-228A9.2	CEP76	PLA2G6	C18orf9|HsT1705	CaI-PLA2|GVI|INAD1|IPLA2-VIA|NBIA2|NBIA2A|NBIA2B|PARK14|PLA2|PNPLA9|iPLA2|iPLA2beta	Two-hybrid	physical	Luck K (2020)	PUBMED:32296183	9606	9606	High Throughput	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID	Q8TAP6	B4DP81	NP_079175|NP_001258918	O60733	A8K460	NP_001336793|NP_001336794|NP_001336795|NP_001186491|NP_003551|NP_001004426	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2707649	9688	8398	115041	113986	-	CTA-228A9.2	NUP93	PLA2G6	NIC96	CaI-PLA2|GVI|INAD1|IPLA2-VIA|NBIA2|NBIA2A|NBIA2B|PARK14|PLA2|PNPLA9|iPLA2|iPLA2beta	Two-hybrid	physical	Luck K (2020)	PUBMED:32296183	9606	9606	High Throughput	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID	Q8N1F7	-	NP_001229724|NP_001229725|NP_055484	O60733	A8K460	NP_001336793|NP_001336794|NP_001336795|NP_001186491|NP_003551|NP_001004426	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2725304	1102	8398	107527	113986	-	CTA-228A9.2	RCBTB2	PLA2G6	CHC1L|RLG	CaI-PLA2|GVI|INAD1|IPLA2-VIA|NBIA2|NBIA2A|NBIA2B|PARK14|PLA2|PNPLA9|iPLA2|iPLA2beta	Two-hybrid	physical	Luck K (2020)	PUBMED:32296183	9606	9606	High Throughput	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID	O95199	B4E372|Q59FB7|B4DWG0	NP_001273761|NP_001273760|NP_001259|NP_001273759	O60733	A8K460	NP_001336793|NP_001336794|NP_001336795|NP_001186491|NP_003551|NP_001004426	-	-	-	-	-	-	Homo sapiens	Homo sapiens
