#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
600951	54918	23400	120259	116973	-	RP1-37C10.4	CMTM6	ATP13A2	CKLFSF6|PRO2219	CLN12|HSA9947|KRPPD|PARK9	Two-hybrid	physical	Vinayagam A (2011)	PUBMED:21900206	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q9NX76	-	NP_060271	Q9NQ11	Q8N4D4|Q8NBS1	NP_071372|NP_001135445|NP_001135446	-	-	-	-	-	-	Homo sapiens	Homo sapiens
727075	23400	9789	116973	115133	RP1-37C10.4	-	ATP13A2	SPCS2	CLN12|HSA9947|KRPPD|PARK9	-	Two-hybrid	physical	Usenovic M (2012)	PUBMED:22645275	9606	9606	High Throughput	-	-	table S1. split-ubiquitin (Ub) membrane yeast two-hybrid (MYTH) system	-	BIOGRID	Q9NQ11	Q8N4D4|Q8NBS1	NP_071372|NP_001135445|NP_001135446	Q15005	-	NP_055567	-	-	-	-	-	-	Homo sapiens	Homo sapiens
727076	23400	10960	116973	116159	RP1-37C10.4	-	ATP13A2	LMAN2	CLN12|HSA9947|KRPPD|PARK9	C5orf8|GP36B|VIP36	Two-hybrid	physical	Usenovic M (2012)	PUBMED:22645275	9606	9606	High Throughput	-	-	table S1. split-ubiquitin (Ub) membrane yeast two-hybrid (MYTH) system	-	BIOGRID	Q9NQ11	Q8N4D4|Q8NBS1	NP_071372|NP_001135445|NP_001135446	Q12907	-	NP_006807	-	-	-	-	-	-	Homo sapiens	Homo sapiens
727077	23400	10130	116973	115434	RP1-37C10.4	-	ATP13A2	PDIA6	CLN12|HSA9947|KRPPD|PARK9	ERP5|P5|TXNDC7	Two-hybrid	physical	Usenovic M (2012)	PUBMED:22645275	9606	9606	High Throughput	-	-	table S1. split-ubiquitin (Ub) membrane yeast two-hybrid (MYTH) system	-	BIOGRID	Q9NQ11	Q8N4D4|Q8NBS1	NP_071372|NP_001135445|NP_001135446	Q15084	-	NP_001269633|NP_001269636|NP_005733|NP_001269634|NP_001269635	-	-	-	-	-	-	Homo sapiens	Homo sapiens
727078	23400	10952	116973	116152	RP1-37C10.4	-	ATP13A2	SEC61B	CLN12|HSA9947|KRPPD|PARK9	-	Two-hybrid	physical	Usenovic M (2012)	PUBMED:22645275	9606	9606	High Throughput	-	-	table S1. split-ubiquitin (Ub) membrane yeast two-hybrid (MYTH) system	-	BIOGRID	Q9NQ11	Q8N4D4|Q8NBS1	NP_071372|NP_001135445|NP_001135446	P60468	-	NP_006799	-	-	-	-	-	-	Homo sapiens	Homo sapiens
727079	23400	118424	116973	125598	RP1-37C10.4	RP5-902P8.8	ATP13A2	UBE2J2	CLN12|HSA9947|KRPPD|PARK9	NCUBE-2|NCUBE2|PRO2121	Two-hybrid	physical	Usenovic M (2012)	PUBMED:22645275	9606	9606	High Throughput	-	-	table S1. split-ubiquitin (Ub) membrane yeast two-hybrid (MYTH) system	-	BIOGRID	Q9NQ11	Q8N4D4|Q8NBS1	NP_071372|NP_001135445|NP_001135446	Q8N2K1	A6NGS0|A0A024R075	NP_919439|NP_477515|NP_919296|NP_919440	-	-	-	-	-	-	Homo sapiens	Homo sapiens
727080	23400	10897	116973	116103	RP1-37C10.4	-	ATP13A2	YIF1A	CLN12|HSA9947|KRPPD|PARK9	54TM|FinGER7|YIF1|YIF1P	Two-hybrid	physical	Usenovic M (2012)	PUBMED:22645275	9606	9606	High Throughput	-	-	table S1. split-ubiquitin (Ub) membrane yeast two-hybrid (MYTH) system	-	BIOGRID	Q9NQ11	Q8N4D4|Q8NBS1	NP_071372|NP_001135445|NP_001135446	O95070	A6NGW1|A8K509	NP_065203|NP_001287790	-	-	-	-	-	-	Homo sapiens	Homo sapiens
727081	23400	6844	116973	112711	RP1-37C10.4	-	ATP13A2	VAMP2	CLN12|HSA9947|KRPPD|PARK9	SYB2|VAMP-2	Two-hybrid	physical	Usenovic M (2012)	PUBMED:22645275	9606	9606	High Throughput	-	-	table S1. split-ubiquitin (Ub) membrane yeast two-hybrid (MYTH) system	-	BIOGRID	Q9NQ11	Q8N4D4|Q8NBS1	NP_071372|NP_001135445|NP_001135446	P63027	F8WCA0	NP_001317054|NP_055047	-	-	-	-	-	-	Homo sapiens	Homo sapiens
727082	23400	22848	116973	116520	RP1-37C10.4	RP11-427H3.3	ATP13A2	AAK1	CLN12|HSA9947|KRPPD|PARK9	-	Two-hybrid	physical	Usenovic M (2012)	PUBMED:22645275	9606	9606	High Throughput	-	-	table S1. split-ubiquitin (Ub) membrane yeast two-hybrid (MYTH) system	-	BIOGRID	Q9NQ11	Q8N4D4|Q8NBS1	NP_071372|NP_001135445|NP_001135446	Q2M2I8	-	NP_001358506|NP_055726|NP_001358504	-	-	-	-	-	-	Homo sapiens	Homo sapiens
727083	23400	2580	116973	108853	RP1-37C10.4	-	ATP13A2	GAK	CLN12|HSA9947|KRPPD|PARK9	DNAJ26|DNAJC26	Two-hybrid	physical	Usenovic M (2012)	PUBMED:22645275	9606	9606	High Throughput	-	-	table S1. split-ubiquitin (Ub) membrane yeast two-hybrid (MYTH) system	-	BIOGRID	Q9NQ11	Q8N4D4|Q8NBS1	NP_071372|NP_001135445|NP_001135446	O14976	B4DS37	NP_001273762|NP_005246|NP_001305063	-	-	-	-	-	-	Homo sapiens	Homo sapiens
