#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
817612	79001	29058	122472	118834	MSTP134	RP5-1116H23.2	VKORC1	TMEM230	EDTP308|IMAGE3455200|MST134|MST576|VKCFD2|VKOR	C20orf30|HSPC274|dJ1116H23.2.1	Two-hybrid	physical	Schaafhausen A (2011)	PUBMED:21103663	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9BQB6	-	NP_001298240|NP_076869|NP_996560	Q96A57	-	NP_001317915|NP_001317914|NP_001317916|NP_001317913|NP_054864|NP_001009924|NP_001009925|NP_001009923	-	-	-	-	-	-	Homo sapiens	Homo sapiens
871728	4000	29058	110186	118834	RP11-54H19.1	RP5-1116H23.2	LMNA	TMEM230	CDCD1|CDDC|CMD1A|CMT2B1|EMD2|FPL|FPLD|FPLD2|HGPS|IDC|LDP1|LFP|LGMD1B|LMN1|LMNC|LMNL1|PRO1	C20orf30|HSPC274|dJ1116H23.2.1	Proximity Label-MS	physical	Roux KJ (2012)	PUBMED:22412018	9606	9606	High Throughput	-	-	-	-	BIOGRID	P02545	Q5TCI8	NP_001244303|NP_005563|NP_733821|NP_733822|NP_001269553|NP_001269555|NP_001269554	Q96A57	-	NP_001317915|NP_001317914|NP_001317916|NP_001317913|NP_054864|NP_001009924|NP_001009925|NP_001009923	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1430592	79867	29058	122955	118834	-	RP5-1116H23.2	TCTN2	TMEM230	C12orf38|MKS8|TECT2	C20orf30|HSPC274|dJ1116H23.2.1	Proximity Label-MS	physical	Gupta GD (2015)	PUBMED:26638075	9606	9606	High Throughput	-	-	BioID	-	BIOGRID	Q96GX1	-	NP_001137322|NP_079085	Q96A57	-	NP_001317915|NP_001317914|NP_001317916|NP_001317913|NP_054864|NP_001009924|NP_001009925|NP_001009923	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1438176	10488	29058	115751	118834	-	RP5-1116H23.2	CREB3	TMEM230	LUMAN|LZIP|sLZIP	C20orf30|HSPC274|dJ1116H23.2.1	Two-hybrid	physical	Yu H (2011)	PUBMED:21516116	9606	9606	High Throughput	-	-	-	-	BIOGRID	O43889	-	NP_006359	Q96A57	-	NP_001317915|NP_001317914|NP_001317916|NP_001317913|NP_054864|NP_001009924|NP_001009925|NP_001009923	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2221617	153364	29058	127492	118834	-	RP5-1116H23.2	MBLAC2	TMEM230	-	C20orf30|HSPC274|dJ1116H23.2.1	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.999996771	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.999996771, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	Q68D91	B3KY36	NP_981951	Q96A57	-	NP_001317915|NP_001317914|NP_001317916|NP_001317913|NP_054864|NP_001009924|NP_001009925|NP_001009923	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2223802	161291	29058	127780	118834	-	RP5-1116H23.2	TMEM30B	TMEM230	CDC50B	C20orf30|HSPC274|dJ1116H23.2.1	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.999982631	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.999982631, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	Q3MIR4	-	NP_001017970	Q96A57	-	NP_001317915|NP_001317914|NP_001317916|NP_001317913|NP_054864|NP_001009924|NP_001009925|NP_001009923	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2345614	4543	29058	110639	118834	-	RP5-1116H23.2	MTNR1A	TMEM230	MEL-1A-R|MT1	C20orf30|HSPC274|dJ1116H23.2.1	Two-hybrid	physical	Benleulmi-Chaachoua A (2016)	PUBMED:26514267	9606	9606	High Throughput	-	-	-	-	BIOGRID	P48039	-	NP_005949	Q96A57	-	NP_001317915|NP_001317914|NP_001317916|NP_001317913|NP_054864|NP_001009924|NP_001009925|NP_001009923	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2345670	4544	29058	110640	118834	-	RP5-1116H23.2	MTNR1B	TMEM230	FGQTL2|MEL-1B-R|MT2	C20orf30|HSPC274|dJ1116H23.2.1	Two-hybrid	physical	Benleulmi-Chaachoua A (2016)	PUBMED:26514267	9606	9606	High Throughput	-	-	-	-	BIOGRID	P49286	-	NP_005950	Q96A57	-	NP_001317915|NP_001317914|NP_001317916|NP_001317913|NP_054864|NP_001009924|NP_001009925|NP_001009923	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2381952	4000	29058	110186	118834	RP11-54H19.1	RP5-1116H23.2	LMNA	TMEM230	CDCD1|CDDC|CMD1A|CMT2B1|EMD2|FPL|FPLD|FPLD2|HGPS|IDC|LDP1|LFP|LGMD1B|LMN1|LMNC|LMNL1|PRO1	C20orf30|HSPC274|dJ1116H23.2.1	Two-hybrid	physical	Dittmer TA (2014)	PUBMED:24623722	9606	9606	High Throughput	-	-	-	-	BIOGRID	P02545	Q5TCI8	NP_001244303|NP_005563|NP_733821|NP_733822|NP_001269553|NP_001269555|NP_001269554	Q96A57	-	NP_001317915|NP_001317914|NP_001317916|NP_001317913|NP_054864|NP_001009924|NP_001009925|NP_001009923	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2446818	359	29058	106855	118834	-	RP5-1116H23.2	AQP2	TMEM230	AQP-CD|WCH-CD	C20orf30|HSPC274|dJ1116H23.2.1	Two-hybrid	physical	Trimpert C (2017)	PUBMED:28931009	9606	9606	High Throughput	-	-	-	-	BIOGRID	P41181	-	NP_000477	Q96A57	-	NP_001317915|NP_001317914|NP_001317916|NP_001317913|NP_054864|NP_001009924|NP_001009925|NP_001009923	-	-	-	-	-	-	Homo sapiens	Homo sapiens
