#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
258911	1213	9829	107623	115167	-	-	CLTC	DNAJC6	CHC|CHC17|CLH-17|CLTCL2|Hc	DJC6|PARK19	Reconstituted Complex	physical	Scheele U (2003)	PUBMED:12732633	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q00610	A0A087WVQ6	NP_001275582|NP_004850	O75061	-	NP_001243794|NP_001243793|NP_055602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
828338	9829	9532	115167	114908	-	RP3-496N17.2	DNAJC6	BAG2	DJC6|PARK19	BAG-2|dJ417I1.2	Two-hybrid	physical	Hegele A (2012)	PUBMED:22365833	9606	9606	High Throughput	-	-	-	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	O95816	-	NP_004273	-	-	-	-	-	-	Homo sapiens	Homo sapiens
828424	9532	9829	114908	115167	RP3-496N17.2	-	BAG2	DNAJC6	BAG-2|dJ417I1.2	DJC6|PARK19	Two-hybrid	physical	Hegele A (2012)	PUBMED:22365833	9606	9606	High Throughput	-	-	-	-	BIOGRID	O95816	-	NP_004273	O75061	-	NP_001243794|NP_001243793|NP_055602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1449800	3065	9829	109315	115167	RP4-811H24.2	-	HDAC1	DNAJC6	GON-10|HD1|RPD3|RPD3L1	DJC6|PARK19	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	9606	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	Q13547	Q6IT96	NP_004955	O75061	-	NP_001243794|NP_001243793|NP_055602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1449801	114791	9829	125353	115167	-	-	TUBGCP5	DNAJC6	GCP5	DJC6|PARK19	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	9606	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	Q96RT8	-	NP_001096080|NP_443135|NP_001341307|NP_001341306|NP_001341305|NP_001341304|NP_001341303|NP_001341302|NP_001341301	O75061	-	NP_001243794|NP_001243793|NP_055602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1464468	12235	9829	198404	115167	RP23-189N15.7	-	Bub1	DNAJC6	AL022991|Bub1a|C80208|D2Xrf87	DJC6|PARK19	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	10090	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	O08901	Q8K1K8|A2APR8	NP_001106650|NP_033902	O75061	-	NP_001243794|NP_001243793|NP_055602	-	-	-	-	-	-	Mus musculus	Homo sapiens
1464469	12412	9829	198534	115167	RP23-353J21.1	-	Cbx1	DNAJC6	Cbx|Cbx-rs2|E430007M08Rik|HP1B|Hp1beta|M31|MOD1	DJC6|PARK19	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	10090	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	P83917	-	NP_031648	O75061	-	NP_001243794|NP_001243793|NP_055602	-	-	-	-	-	-	Mus musculus	Homo sapiens
1464470	67490	9829	212226	115167	RP23-35A10.1	-	Ufl1	DNAJC6	1810074P20Rik|AI429228|Kiaa0776|Maxer|Rcad|mKIAA0776	DJC6|PARK19	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	10090	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	Q8CCJ3	-	NP_080470	O75061	-	NP_001243794|NP_001243793|NP_055602	-	-	-	-	-	-	Mus musculus	Homo sapiens
2222644	2779	9829	109041	115167	-	-	GNAT1	DNAJC6	CSNBAD3|GBT1|GNATR	DJC6|PARK19	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.999992553	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.999992553, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	P11488	A0A024R2Z1	NP_000163|NP_653082	O75061	-	NP_001243794|NP_001243793|NP_055602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2223255	8808	9829	114336	115167	-	-	IL1RL2	DNAJC6	IL-1Rrp2|IL-36R|IL1R-rp2|IL1RRP2	DJC6|PARK19	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.999988337	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.999988337, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	Q9HB29	-	NP_003845	O75061	-	NP_001243794|NP_001243793|NP_055602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2377760	7706	9829	113500	115167	-	-	TRIM25	DNAJC6	EFP|RNF147|Z147|ZNF147	DJC6|PARK19	Affinity Capture-RNA	physical	Choudhury NR (2017)	PUBMED:29117863	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q14258	-	NP_005073	O75061	-	NP_001243794|NP_001243793|NP_055602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2564640	25962	9829	117452	115167	MSTP054	-	KIAA1429	DNAJC6	fSAP121	DJC6|PARK19	Affinity Capture-RNA	physical	Yue Y (2018)	PUBMED:29507755	9606	9606	High Throughput	-	-	The RNA of the 'hit' genes was identified in an RIP-seq (RNA immunoprecipitation sequencing) experiment using the 'bait' protein, VIRMA.	-	BIOGRID	Q69YN4	-	NP_056311|NP_892121	O75061	-	NP_001243794|NP_001243793|NP_055602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2641915	9829	64746	115167	122262	-	-	DNAJC6	ACBD3	DJC6|PARK19	GCP60|GOCAP1|GOLPH1|PAP7	Affinity Capture-MS	physical	Kumar P (2017)	PUBMED:28675297	9606	9606	High Throughput	-	-	-	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	Q9H3P7	A0A024R3P9	NP_073572	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2641938	9829	10768	115167	115987	-	-	DNAJC6	AHCYL1	DJC6|PARK19	DCAL|IRBIT|PPP1R78|PRO0233|XPVKONA	Affinity Capture-MS	physical	Kumar P (2017)	PUBMED:28675297	9606	9606	High Throughput	-	-	-	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	O43865	A0A024R0A8	NP_001229603|NP_001229602|NP_006612|NP_001229605|NP_001229604	-	-	-	-	-	-	Homo sapiens	Homo sapiens
