#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
243175	4163	55737	110333	120855	-	TCCCTA00141	MCC	VPS35	MCC1	MEM3|PARK17	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.309	-	Exogenous expression of bait	-	BIOGRID	P23508	-	NP_001078846|NP_002378	Q96QK1	-	NP_060676	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
258076	853393	55737	33701	120855	YJL053W	TCCCTA00141	PEP8	VPS35	GRD6|VPS26|VPT4|retromer subunit PEP8|L000001378	MEM3|PARK17	Affinity Capture-Western	physical	Zhao X (2007)	PUBMED:17916227	559292	9606	Low Throughput	-	-	-	-	BIOGRID	P40335	-	NP_012482	Q96QK1	-	NP_060676	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Homo sapiens
424132	124739	55737	125884	120855	-	TCCCTA00141	USP43	VPS35	-	MEM3|PARK17	Affinity Capture-MS	physical	Sowa ME (2009)	PUBMED:19615732	9606	9606	High Throughput	1.57	-	exogenous expression of bait	-	BIOGRID	Q70EL4	-	NP_001254505|NP_694942	Q96QK1	-	NP_060676	BTO:0000007	HEK-293 cell	cell line	BTO:0000414	epithelial cell	-	Homo sapiens	Homo sapiens
424133	84669	55737	124189	120855	-	TCCCTA00141	USP32	VPS35	NY-REN-60|USP10	MEM3|PARK17	Affinity Capture-MS	physical	Sowa ME (2009)	PUBMED:19615732	9606	9606	High Throughput	3.0	-	exogenous expression of bait	-	BIOGRID	Q8NFA0	-	NP_115971	Q96QK1	-	NP_060676	BTO:0000007	HEK-293 cell	cell line	BTO:0000414	epithelial cell	-	Homo sapiens	Homo sapiens
449244	55737	853287	120855	33606	TCCCTA00141	YJL154C	VPS35	VPS35	MEM3|PARK17	GRD9|VPT7|L000002477	Phenotypic Suppression	genetic	Zhao X (2007)	PUBMED:17916227	9606	559292	Low Throughput	-	-	The dominant-negative phenotype induced by exogenous expression of hVps35 is rescued by overexpression of yVps35.	-	BIOGRID	Q96QK1	-	NP_060676	P34110	-	NP_012381	APO:0000078	protein secretion	phenotype	-	-	wild type	Homo sapiens	Saccharomyces cerevisiae (S288c)
558177	3014	55737	109268	120855	-	TCCCTA00141	H2AFX	VPS35	H2A.X|H2A/X|H2AX	MEM3|PARK17	Affinity Capture-MS	physical	Yang X (2010)	PUBMED:20000738	9606	9606	Low Throughput	-	-	exogenous expression of bait	-	BIOGRID	P16104	-	NP_002096	Q96QK1	-	NP_060676	BTO:0000578	hepatoma cell line	cell line	DOID:684	hepatocellular carcinoma	-	Homo sapiens	Homo sapiens
561971	55737	253725	120855	128984	TCCCTA00141	RP11-175I17.5	VPS35	FAM21C	MEM3|PARK17	FAM21A|VPEF	Affinity Capture-Western	physical	Harbour ME (2010)	PUBMED:20923837	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96QK1	-	NP_060676	Q9Y4E1	A8K5W5|B3KMC4	NP_001354338|NP_001354339|NP_001354330|NP_001354331|NP_001354332|NP_001354333|NP_001354334|NP_001354335|NP_001354336|NP_001354337|NP_001317003|NP_056077|NP_001354341|NP_001354345|NP_001354322|NP_001354329|NP_001354328|NP_001354340|NP_001354323|NP_001354344|NP_001354327|NP_001354326|NP_001354325|NP_001354324|NP_001354343|NP_001354342|NP_001162577|NP_001162578	-	-	-	-	-	-	Homo sapiens	Homo sapiens
561978	55737	253725	120855	128984	TCCCTA00141	RP11-175I17.5	VPS35	FAM21C	MEM3|PARK17	FAM21A|VPEF	Two-hybrid	physical	Harbour ME (2010)	PUBMED:20923837	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96QK1	-	NP_060676	Q9Y4E1	A8K5W5|B3KMC4	NP_001354338|NP_001354339|NP_001354330|NP_001354331|NP_001354332|NP_001354333|NP_001354334|NP_001354335|NP_001354336|NP_001354337|NP_001317003|NP_056077|NP_001354341|NP_001354345|NP_001354322|NP_001354329|NP_001354328|NP_001354340|NP_001354323|NP_001354344|NP_001354327|NP_001354326|NP_001354325|NP_001354324|NP_001354343|NP_001354342|NP_001162577|NP_001162578	-	-	-	-	-	-	Homo sapiens	Homo sapiens
564373	6259	55737	112171	120855	-	TCCCTA00141	RYK	VPS35	D3S3195|JTK5|JTK5A|RYK1	MEM3|PARK17	Affinity Capture-MS	physical	Berndt JD (2011)	PUBMED:21875946	9606	9606	High Throughput	-	-	-	-	BIOGRID	P34925	Q8WTZ8|A0A087WUK1|Q59FQ5	NP_001005861|NP_002949	Q96QK1	-	NP_060676	-	-	-	-	-	-	Homo sapiens	Homo sapiens
593947	81030	55737	123349	120855	RP4-718J7.1	TCCCTA00141	ZBP1	VPS35	C20orf183|DAI|DLM-1|DLM1	MEM3|PARK17	Affinity Capture-MS	physical	Li S (2011)	PUBMED:21903422	9606	9606	High Throughput	-	-	exogenous expression of bait|some interactions identified in this screen were stimulated by the addition of poly(rI:rC), poly(dA:dT), LPS, and/or CpG	-	BIOGRID	Q9H171	-	NP_110403|NP_001153890|NP_001153891|NP_001153889	Q96QK1	-	NP_060676	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
