#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
25271	5564	51422	111551	119531	-	-	PRKAB1	PRKAG2	AMPK|HAMPKb	AAKG|AAKG2|CMH6|H91620p|WPWS	Two-hybrid	physical	Cheung PC (2000)	PUBMED:10698692	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y478	A0A024RBN1	NP_006244	Q9UGJ0	-	NP_001035723|NP_001291460|NP_077747|NP_057287|NP_001291456	-	-	-	-	-	-	Homo sapiens	Homo sapiens
25273	5565	51422	111552	119531	-	-	PRKAB2	PRKAG2	-	AAKG|AAKG2|CMH6|H91620p|WPWS	Two-hybrid	physical	Cheung PC (2000)	PUBMED:10698692	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O43741	-	NP_005390	Q9UGJ0	-	NP_001035723|NP_001291460|NP_077747|NP_057287|NP_001291456	-	-	-	-	-	-	Homo sapiens	Homo sapiens
25274	5571	51422	111558	119531	-	-	PRKAG1	PRKAG2	AMPKG	AAKG|AAKG2|CMH6|H91620p|WPWS	Two-hybrid	physical	Cheung PC (2000)	PUBMED:10698692	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P54619	A0A024R125|F8VYY9	NP_001193638|NP_001193639|NP_002724	Q9UGJ0	-	NP_001035723|NP_001291460|NP_077747|NP_057287|NP_001291456	-	-	-	-	-	-	Homo sapiens	Homo sapiens
328189	51422	5564	119531	111551	-	-	PRKAG2	PRKAB1	AAKG|AAKG2|CMH6|H91620p|WPWS	AMPK|HAMPKb	Two-hybrid	physical	Cheung PC (2000)	PUBMED:10698692	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9UGJ0	-	NP_001035723|NP_001291460|NP_077747|NP_057287|NP_001291456	Q9Y478	A0A024RBN1	NP_006244	-	-	-	-	-	-	Homo sapiens	Homo sapiens
328190	51422	5565	119531	111552	-	-	PRKAG2	PRKAB2	AAKG|AAKG2|CMH6|H91620p|WPWS	-	Two-hybrid	physical	Cheung PC (2000)	PUBMED:10698692	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9UGJ0	-	NP_001035723|NP_001291460|NP_077747|NP_057287|NP_001291456	O43741	-	NP_005390	-	-	-	-	-	-	Homo sapiens	Homo sapiens
446414	5563	51422	111550	119531	-	-	PRKAA2	PRKAG2	AMPK|AMPK2|AMPKa2|PRKAA	AAKG|AAKG2|CMH6|H91620p|WPWS	Affinity Capture-MS	physical	Behrends C (2010)	PUBMED:20562859	9606	9606	High Throughput	-	-	Exogenous expression of bait	-	BIOGRID	P54646	-	NP_006243	Q9UGJ0	-	NP_001035723|NP_001291460|NP_077747|NP_057287|NP_001291456	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
446437	5564	51422	111551	119531	-	-	PRKAB1	PRKAG2	AMPK|HAMPKb	AAKG|AAKG2|CMH6|H91620p|WPWS	Affinity Capture-MS	physical	Behrends C (2010)	PUBMED:20562859	9606	9606	High Throughput	-	-	Exogenous expression of bait	-	BIOGRID	Q9Y478	A0A024RBN1	NP_006244	Q9UGJ0	-	NP_001035723|NP_001291460|NP_077747|NP_057287|NP_001291456	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
446447	5565	51422	111552	119531	-	-	PRKAB2	PRKAG2	-	AAKG|AAKG2|CMH6|H91620p|WPWS	Affinity Capture-MS	physical	Behrends C (2010)	PUBMED:20562859	9606	9606	High Throughput	-	-	Exogenous expression of bait	-	BIOGRID	O43741	-	NP_005390	Q9UGJ0	-	NP_001035723|NP_001291460|NP_077747|NP_057287|NP_001291456	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
446473	5571	51422	111558	119531	-	-	PRKAG1	PRKAG2	AMPKG	AAKG|AAKG2|CMH6|H91620p|WPWS	Affinity Capture-MS	physical	Behrends C (2010)	PUBMED:20562859	9606	9606	High Throughput	-	-	Exogenous expression of bait	-	BIOGRID	P54619	A0A024R125|F8VYY9	NP_001193638|NP_001193639|NP_002724	Q9UGJ0	-	NP_001035723|NP_001291460|NP_077747|NP_057287|NP_001291456	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
446474	51422	5563	119531	111550	-	-	PRKAG2	PRKAA2	AAKG|AAKG2|CMH6|H91620p|WPWS	AMPK|AMPK2|AMPKa2|PRKAA	Affinity Capture-MS	physical	Behrends C (2010)	PUBMED:20562859	9606	9606	High Throughput	-	-	Exogenous expression of bait	-	BIOGRID	Q9UGJ0	-	NP_001035723|NP_001291460|NP_077747|NP_057287|NP_001291456	P54646	-	NP_006243	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
446475	51422	5565	119531	111552	-	-	PRKAG2	PRKAB2	AAKG|AAKG2|CMH6|H91620p|WPWS	-	Affinity Capture-MS	physical	Behrends C (2010)	PUBMED:20562859	9606	9606	High Throughput	-	-	Exogenous expression of bait	-	BIOGRID	Q9UGJ0	-	NP_001035723|NP_001291460|NP_077747|NP_057287|NP_001291456	O43741	-	NP_005390	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
