#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
22503	2887	26058	109144	117520	-	-	GRB10	GIGYF2	GRB-IR|Grb-10|IRBP|MEG1|RSS	GYF2|PARK11|PERQ2|PERQ3|TNRC15	Two-hybrid	physical	Giovannone B (2003)	PUBMED:12771153	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13322	-	NP_001001549|NP_001337745|NP_001337744|NP_001001550|NP_001337743|NP_001001555|NP_001357938|NP_005302|NP_001357937	Q6Y7W6	-	NP_001096617|NP_001096616|NP_056390|NP_001096618	-	-	-	-	-	-	Homo sapiens	Homo sapiens
423948	8237	26058	113866	117520	RP4-659F15.2	-	USP11	GIGYF2	UHX1	GYF2|PARK11|PERQ2|PERQ3|TNRC15	Affinity Capture-MS	physical	Sowa ME (2009)	PUBMED:19615732	9606	9606	High Throughput	4.79	-	exogenous expression of bait	-	BIOGRID	P51784	B4DGK3	NP_004642|NP_001358001	Q6Y7W6	-	NP_001096617|NP_001096616|NP_056390|NP_001096618	BTO:0000007	HEK-293 cell	cell line	BTO:0000414	epithelial cell	-	Homo sapiens	Homo sapiens
452633	26058	24148	117520	117298	-	-	GIGYF2	PRPF6	GYF2|PARK11|PERQ2|PERQ3|TNRC15	ANT-1|ANT1|C20orf14|Prp6|RP60|SNRNP102|TOM|U5-102K|hPrp6	Affinity Capture-MS	physical	Ash MR (2010)	PUBMED:20696395	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q6Y7W6	-	NP_001096617|NP_001096616|NP_056390|NP_001096618	O94906	-	NP_036601	-	-	-	-	-	-	Homo sapiens	Homo sapiens
452634	26058	10594	117520	115842	-	-	GIGYF2	PRPF8	GYF2|PARK11|PERQ2|PERQ3|TNRC15	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Affinity Capture-MS	physical	Ash MR (2010)	PUBMED:20696395	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q6Y7W6	-	NP_001096617|NP_001096616|NP_056390|NP_001096618	Q6P2Q9	-	NP_006436	-	-	-	-	-	-	Homo sapiens	Homo sapiens
452635	26058	11218	117520	116387	-	-	GIGYF2	DDX20	GYF2|PARK11|PERQ2|PERQ3|TNRC15	DP103|GEMIN3	Affinity Capture-MS	physical	Ash MR (2010)	PUBMED:20696395	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q6Y7W6	-	NP_001096617|NP_001096616|NP_056390|NP_001096618	Q9UHI6	Q9H4N4	NP_009135	-	-	-	-	-	-	Homo sapiens	Homo sapiens
452636	26058	6606	117520	112490	-	-	GIGYF2	SMN1	GYF2|PARK11|PERQ2|PERQ3|TNRC15	BCD541|GEMIN1|SMA|SMA1|SMA2|SMA3|SMA4|SMA@|SMN|SMNT|T-BCD541|TDRD16A	Affinity Capture-MS	physical	Ash MR (2010)	PUBMED:20696395	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q6Y7W6	-	NP_001096617|NP_001096616|NP_056390|NP_001096618	Q16637	-	NP_075012|NP_001284644|NP_000335	-	-	-	-	-	-	Homo sapiens	Homo sapiens
452637	26058	50628	117520	119102	-	-	GIGYF2	GEMIN4	GYF2|PARK11|PERQ2|PERQ3|TNRC15	HC56|HCAP1|HHRF-1|p97	Affinity Capture-MS	physical	Ash MR (2010)	PUBMED:20696395	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q6Y7W6	-	NP_001096617|NP_001096616|NP_056390|NP_001096618	P57678	I3L2C7|Q8WUM5	NP_056536	-	-	-	-	-	-	Homo sapiens	Homo sapiens
452638	26058	11338	117520	116466	-	-	GIGYF2	U2AF2	GYF2|PARK11|PERQ2|PERQ3|TNRC15	U2AF65	Affinity Capture-MS	physical	Ash MR (2010)	PUBMED:20696395	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q6Y7W6	-	NP_001096617|NP_001096616|NP_056390|NP_001096618	P26368	-	NP_001012496|NP_009210	-	-	-	-	-	-	Homo sapiens	Homo sapiens
452639	26058	199746	117520	128270	-	-	GIGYF2	U2AF1L4	GYF2|PARK11|PERQ2|PERQ3|TNRC15	U2AF1-RS3|U2AF1L3|U2AF1L3V1|U2AF1RS3|U2af26	Affinity Capture-MS	physical	Ash MR (2010)	PUBMED:20696395	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q6Y7W6	-	NP_001096617|NP_001096616|NP_056390|NP_001096618	Q8WU68	-	NP_001035515|NP_659424	-	-	-	-	-	-	Homo sapiens	Homo sapiens
452640	26058	10992	117520	116188	-	-	GIGYF2	SF3B2	GYF2|PARK11|PERQ2|PERQ3|TNRC15	Cus1|SAP145|SF3B145|SF3b1|SF3b150	Affinity Capture-MS	physical	Ash MR (2010)	PUBMED:20696395	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q6Y7W6	-	NP_001096617|NP_001096616|NP_056390|NP_001096618	Q13435	-	NP_006833	-	-	-	-	-	-	Homo sapiens	Homo sapiens
