#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
589390	23411	51142	116983	119326	RP11-57G10.3	AAG10	SIRT1	CHCHD2	SIR2L1	C7orf17	Affinity Capture-MS	physical	Law IK (2009)	PUBMED:19343720	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96EB6	B0QZ35|E9PC49|A8K128|A0A024QZQ1	NP_036370|NP_001300978|NP_001135970	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
740464	15194	51142	200268	119326	-	AAG10	Htt	CHCHD2	AI256365|C430023I11Rik|Hd|Hdh|IT15	C7orf17	Affinity Capture-MS	physical	Kaltenbach LS (2007)	PUBMED:17500595	10090	9606	High Throughput	-	-	-	-	BIOGRID	-	G3X9H5	NP_034544	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Mus musculus	Homo sapiens
747393	51142	6152	119326	112071	AAG10	-	CHCHD2	RPL24	C7orf17	HEL-S-310|L24	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.925	-	Denoised score >= 0.75	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	P83731	V9HW01	NP_000977	-	-	-	-	-	-	Homo sapiens	Homo sapiens
749547	51142	1829	119326	108163	AAG10	-	CHCHD2	DSG2	C7orf17	ARVC10|ARVD10|CDHF5|CMD1BB|HDGC	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.837	-	Denoised score >= 0.75	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q14126	-	NP_001934	-	-	-	-	-	-	Homo sapiens	Homo sapiens
752816	51142	1244	119326	107647	AAG10	RP11-114F7.2	CHCHD2	ABCC2	C7orf17	ABC30|CMOAT|DJS|MRP2|cMRP	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.775	-	Denoised score >= 0.75	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q92887	-	NP_000383	-	-	-	-	-	-	Homo sapiens	Homo sapiens
754542	51142	1329	119326	107722	AAG10	-	CHCHD2	COX5B	C7orf17	COXVB	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.75	-	Denoised score >= 0.75	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	P10606	-	NP_001853	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1038674	2801	51142	109063	119326	RP11-395P17.5	AAG10	GOLGA2	CHCHD2	GM130	C7orf17	Two-hybrid	physical	Rolland T (2014)	PUBMED:25416956	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q08379	-	NP_001353173|NP_004477|NP_001353175	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1039650	3881	51142	110079	119326	-	AAG10	KRT31	CHCHD2	HA1|Ha-1|KRTHA1|hHa1	C7orf17	Two-hybrid	physical	Rolland T (2014)	PUBMED:25416956	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q15323	-	NP_002268	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1041553	5966	51142	111898	119326	-	AAG10	REL	CHCHD2	C-Rel	C7orf17	Two-hybrid	physical	Rolland T (2014)	PUBMED:25416956	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q04864	-	NP_002899|NP_001278675	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1042575	6925	51142	112787	119326	-	AAG10	TCF4	CHCHD2	E2-2|ITF-2|ITF2|PTHS|SEF-2|SEF2|SEF2-1|SEF2-1A|SEF2-1B|SEF2-1D|TCF-4|bHLHb19	C7orf17	Two-hybrid	physical	Rolland T (2014)	PUBMED:25416956	9606	9606	High Throughput	-	-	-	-	BIOGRID	P15884	A0A024R2C0|E9PH57|H3BTP3|B3KVA4	NP_001077431|NP_001230165|NP_001293136|NP_001293137|NP_001317533|NP_003190|NP_001230160|NP_001230155|NP_001230157|NP_001230156|NP_001230159|NP_001230161|NP_001230162|NP_001230163|NP_001230164|NP_001317534	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1045758	10919	51142	116123	119326	DAAP-66K18.3	AAG10	EHMT2	CHCHD2	BAT8|C6orf30|G9A|GAT8|KMT1C|NG36	C7orf17	Two-hybrid	physical	Rolland T (2014)	PUBMED:25416956	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q96KQ7	B7Z852|A2ABF8|A2ABF9|A0A024RCN9	NP_006700|NP_001350618|NP_001276342|NP_079532|NP_001305762	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
