#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
19341	27429	1432	118165	107819	-	RP1-179N16.5	HTRA2	MAPK14	OMI|PARK13|PRSS25	CSBP|CSBP1|CSBP2|CSPB1|EXIP|Mxi2|PRKM14|PRKM15|RK|SAPK2A|p38|p38ALPHA	Two-hybrid	physical	Faccio L (2000)	PUBMED:10644717	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O43464	-	NP_001308656|NP_001308657|NP_037379|NP_659540	Q16539	B4E0K5|A0A024RD15|L7RSM2	NP_620581|NP_001306|NP_620582|NP_620583	-	-	-	-	-	-	Homo sapiens	Homo sapiens
256168	329	27429	106826	118165	-	-	BIRC2	HTRA2	API1|HIAP2|Hiap-2|MIHB|RNF48|c-IAP1|cIAP1	OMI|PARK13|PRSS25	Affinity Capture-MS	physical	Hegde R (2003)	PUBMED:12865429	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13490	-	NP_001243092|NP_001157|NP_001243095	O43464	-	NP_001308656|NP_001308657|NP_037379|NP_659540	-	-	-	-	-	-	Homo sapiens	Homo sapiens
256171	27429	331	118165	106828	-	RP1-315G1.5	HTRA2	XIAP	OMI|PARK13|PRSS25	API3|BIRC4|IAP-3|ILP1|MIHA|XLP2|hIAP-3|hIAP3	Reconstituted Complex	physical	Hegde R (2003)	PUBMED:12865429	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O43464	-	NP_001308656|NP_001308657|NP_037379|NP_659540	P98170	B2R9R2	NP_001365519|NP_001158|NP_001365521|NP_001365520|NP_001191330	-	-	-	-	-	-	Homo sapiens	Homo sapiens
256172	27429	329	118165	106826	-	-	HTRA2	BIRC2	OMI|PARK13|PRSS25	API1|HIAP2|Hiap-2|MIHB|RNF48|c-IAP1|cIAP1	Reconstituted Complex	physical	Hegde R (2003)	PUBMED:12865429	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O43464	-	NP_001308656|NP_001308657|NP_037379|NP_659540	Q13490	-	NP_001243092|NP_001157|NP_001243095	-	-	-	-	-	-	Homo sapiens	Homo sapiens
256173	27429	330	118165	106827	-	-	HTRA2	BIRC3	OMI|PARK13|PRSS25	AIP1|API2|CIAP2|HAIP1|HIAP1|MALT2|MIHC|RNF49|c-IAP2	Reconstituted Complex	physical	Hegde R (2003)	PUBMED:12865429	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O43464	-	NP_001308656|NP_001308657|NP_037379|NP_659540	Q13489	-	NP_892007|NP_001156	-	-	-	-	-	-	Homo sapiens	Homo sapiens
302732	27429	1432	118165	107819	-	RP1-179N16.5	HTRA2	MAPK14	OMI|PARK13|PRSS25	CSBP|CSBP1|CSBP2|CSPB1|EXIP|Mxi2|PRKM14|PRKM15|RK|SAPK2A|p38|p38ALPHA	Affinity Capture-Western	physical	Faccio L (2000)	PUBMED:10644717	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O43464	-	NP_001308656|NP_001308657|NP_037379|NP_659540	Q16539	B4E0K5|A0A024RD15|L7RSM2	NP_620581|NP_001306|NP_620582|NP_620583	-	-	-	-	-	-	Homo sapiens	Homo sapiens
315959	331	27429	106828	118165	RP1-315G1.5	-	XIAP	HTRA2	API3|BIRC4|IAP-3|ILP1|MIHA|XLP2|hIAP-3|hIAP3	OMI|PARK13|PRSS25	Affinity Capture-Western	physical	Verhagen AM (2002)	PUBMED:11604410	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P98170	B2R9R2	NP_001365519|NP_001158|NP_001365521|NP_001365520|NP_001191330	O43464	-	NP_001308656|NP_001308657|NP_037379|NP_659540	-	-	-	-	-	-	Homo sapiens	Homo sapiens
315960	329	27429	106826	118165	-	-	BIRC2	HTRA2	API1|HIAP2|Hiap-2|MIHB|RNF48|c-IAP1|cIAP1	OMI|PARK13|PRSS25	Affinity Capture-Western	physical	Verhagen AM (2002)	PUBMED:11604410	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13490	-	NP_001243092|NP_001157|NP_001243095	O43464	-	NP_001308656|NP_001308657|NP_037379|NP_659540	-	-	-	-	-	-	Homo sapiens	Homo sapiens
446582	7186	27429	113038	118165	-	-	TRAF2	HTRA2	MGC:45012|TRAP|TRAP3	OMI|PARK13|PRSS25	Affinity Capture-MS	physical	Behrends C (2010)	PUBMED:20562859	9606	9606	High Throughput	-	-	Exogenous expression of bait	-	BIOGRID	Q12933	A0A024R8H5	NP_066961	O43464	-	NP_001308656|NP_001308657|NP_037379|NP_659540	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
545403	5071	27429	111105	118165	KB-152G3.1	-	PARK2	HTRA2	AR-JP|LPRS2|PDJ|PRKN	OMI|PARK13|PRSS25	Affinity Capture-Western	physical	Park HM (2009)	PUBMED:19631192	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60260	X5DR79	NP_054643|NP_054642|NP_004553	O43464	-	NP_001308656|NP_001308657|NP_037379|NP_659540	-	-	-	-	-	-	Homo sapiens	Homo sapiens
