#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
304482	25793	8454	117326	114032	LL22NC03-28H9.2	-	FBXO7	CUL1	FBX|FBX07|FBX7|PARK15|PKPS	-	Affinity Capture-Western	physical	Cenciarelli C (1999)	PUBMED:10531035	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y3I1	-	NP_036311|NP_001028196|NP_001244919	Q13616	B3KTW0	NP_001357589|NP_003583|NP_001357591|NP_001357590|NP_001357593|NP_001357592	-	-	-	-	-	-	Homo sapiens	Homo sapiens
304483	25793	6500	117326	112391	LL22NC03-28H9.2	-	FBXO7	SKP1	FBX|FBX07|FBX7|PARK15|PKPS	EMC19|OCP-II|OCP2|SKP1A|TCEB1L|p19A	Affinity Capture-Western	physical	Cenciarelli C (1999)	PUBMED:10531035	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y3I1	-	NP_036311|NP_001028196|NP_001244919	P63208	-	NP_733779|NP_008861	-	-	-	-	-	-	Homo sapiens	Homo sapiens
304490	7322	25793	113170	117326	-	LL22NC03-28H9.2	UBE2D2	FBXO7	E2(17)KB2|PUBC1|UBC4|UBC4/5|UBCH4|UBCH5B	FBX|FBX07|FBX7|PARK15|PKPS	Biochemical Activity	physical	Cenciarelli C (1999)	PUBMED:10531035	9606	9606	Low Throughput	-	Ubiquitination	-	-	BIOGRID	P62837	-	NP_003330|NP_862821	Q9Y3I1	-	NP_036311|NP_001028196|NP_001244919	-	-	-	-	-	-	Homo sapiens	Homo sapiens
304495	997	25793	107432	117326	-	LL22NC03-28H9.2	CDC34	FBXO7	E2-CDC34|UBC3|UBCH3|UBE2R1	FBX|FBX07|FBX7|PARK15|PKPS	Biochemical Activity	physical	Cenciarelli C (1999)	PUBMED:10531035	9606	9606	Low Throughput	-	Ubiquitination	-	-	BIOGRID	P49427	A0A024R1Z1	NP_004350	Q9Y3I1	-	NP_036311|NP_001028196|NP_001244919	-	-	-	-	-	-	Homo sapiens	Homo sapiens
304503	6500	25793	112391	117326	-	LL22NC03-28H9.2	SKP1	FBXO7	EMC19|OCP-II|OCP2|SKP1A|TCEB1L|p19A	FBX|FBX07|FBX7|PARK15|PKPS	Two-hybrid	physical	Cenciarelli C (1999)	PUBMED:10531035	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P63208	-	NP_733779|NP_008861	Q9Y3I1	-	NP_036311|NP_001028196|NP_001244919	-	-	-	-	-	-	Homo sapiens	Homo sapiens
304513	6500	25793	112391	117326	-	LL22NC03-28H9.2	SKP1	FBXO7	EMC19|OCP-II|OCP2|SKP1A|TCEB1L|p19A	FBX|FBX07|FBX7|PARK15|PKPS	Reconstituted Complex	physical	Cenciarelli C (1999)	PUBMED:10531035	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P63208	-	NP_733779|NP_008861	Q9Y3I1	-	NP_036311|NP_001028196|NP_001244919	-	-	-	-	-	-	Homo sapiens	Homo sapiens
330010	1021	25793	107456	117326	-	LL22NC03-28H9.2	CDK6	FBXO7	MCPH12|PLSTIRE	FBX|FBX07|FBX7|PARK15|PKPS	Affinity Capture-Western	physical	Kirk R (2008)	PUBMED:18495667	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q00534	-	NP_001138778|NP_001250	Q9Y3I1	-	NP_036311|NP_001028196|NP_001244919	-	-	-	-	-	-	Homo sapiens	Homo sapiens
330011	25793	9491	117326	114872	LL22NC03-28H9.2	RP4-545L17.1	FBXO7	PSMF1	FBX|FBX07|FBX7|PARK15|PKPS	PI31	Affinity Capture-Western	physical	Kirk R (2008)	PUBMED:18495667	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y3I1	-	NP_036311|NP_001028196|NP_001244919	Q92530	Q5QPM7	NP_848693|NP_006805|NP_001310338|NP_001310339|NP_001310336|NP_001310337	-	-	-	-	-	-	Homo sapiens	Homo sapiens
330012	25793	8454	117326	114032	LL22NC03-28H9.2	-	FBXO7	CUL1	FBX|FBX07|FBX7|PARK15|PKPS	-	Affinity Capture-Western	physical	Kirk R (2008)	PUBMED:18495667	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y3I1	-	NP_036311|NP_001028196|NP_001244919	Q13616	B3KTW0	NP_001357589|NP_003583|NP_001357591|NP_001357590|NP_001357593|NP_001357592	-	-	-	-	-	-	Homo sapiens	Homo sapiens
330013	9491	25793	114872	117326	RP4-545L17.1	LL22NC03-28H9.2	PSMF1	FBXO7	PI31	FBX|FBX07|FBX7|PARK15|PKPS	Affinity Capture-Western	physical	Kirk R (2008)	PUBMED:18495667	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92530	Q5QPM7	NP_848693|NP_006805|NP_001310338|NP_001310339|NP_001310336|NP_001310337	Q9Y3I1	-	NP_036311|NP_001028196|NP_001244919	-	-	-	-	-	-	Homo sapiens	Homo sapiens
330014	25793	9491	117326	114872	LL22NC03-28H9.2	RP4-545L17.1	FBXO7	PSMF1	FBX|FBX07|FBX7|PARK15|PKPS	PI31	Two-hybrid	physical	Kirk R (2008)	PUBMED:18495667	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y3I1	-	NP_036311|NP_001028196|NP_001244919	Q92530	Q5QPM7	NP_848693|NP_006805|NP_001310338|NP_001310339|NP_001310336|NP_001310337	-	-	-	-	-	-	Homo sapiens	Homo sapiens
330015	25793	9491	117326	114872	LL22NC03-28H9.2	RP4-545L17.1	FBXO7	PSMF1	FBX|FBX07|FBX7|PARK15|PKPS	PI31	Reconstituted Complex	physical	Kirk R (2008)	PUBMED:18495667	9606	9606	Low Throughput	-	-	purified	-	BIOGRID	Q9Y3I1	-	NP_036311|NP_001028196|NP_001244919	Q92530	Q5QPM7	NP_848693|NP_006805|NP_001310338|NP_001310339|NP_001310336|NP_001310337	-	-	-	-	-	-	Homo sapiens	Homo sapiens
330016	9491	25793	114872	117326	RP4-545L17.1	LL22NC03-28H9.2	PSMF1	FBXO7	PI31	FBX|FBX07|FBX7|PARK15|PKPS	Reconstituted Complex	physical	Kirk R (2008)	PUBMED:18495667	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92530	Q5QPM7	NP_848693|NP_006805|NP_001310338|NP_001310339|NP_001310336|NP_001310337	Q9Y3I1	-	NP_036311|NP_001028196|NP_001244919	-	-	-	-	-	-	Homo sapiens	Homo sapiens
423926	10980	25793	116176	117326	-	LL22NC03-28H9.2	COPS6	FBXO7	CSN6|MOV34-34KD	FBX|FBX07|FBX7|PARK15|PKPS	Affinity Capture-MS	physical	Sowa ME (2009)	PUBMED:19615732	9606	9606	High Throughput	4.79	-	exogenous expression of bait	-	BIOGRID	Q7L5N1	-	NP_006824	Q9Y3I1	-	NP_036311|NP_001028196|NP_001244919	BTO:0000007	HEK-293 cell	cell line	BTO:0000414	epithelial cell	-	Homo sapiens	Homo sapiens
442406	329	25793	106826	117326	-	LL22NC03-28H9.2	BIRC2	FBXO7	API1|HIAP2|Hiap-2|MIHB|RNF48|c-IAP1|cIAP1	FBX|FBX07|FBX7|PARK15|PKPS	Affinity Capture-Western	physical	Chang YF (2006)	PUBMED:16510124	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13490	-	NP_001243092|NP_001157|NP_001243095	Q9Y3I1	-	NP_036311|NP_001028196|NP_001244919	-	-	-	-	-	-	Homo sapiens	Homo sapiens
479662	25793	9787	117326	115131	LL22NC03-28H9.2	-	FBXO7	DLGAP5	FBX|FBX07|FBX7|PARK15|PKPS	DLG7|HURP	Affinity Capture-Western	physical	Hsu JM (2004)	PUBMED:15145941	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y3I1	-	NP_036311|NP_001028196|NP_001244919	Q15398	-	NP_055565|NP_001139487	-	-	-	-	-	-	Homo sapiens	Homo sapiens
479663	25793	8454	117326	114032	LL22NC03-28H9.2	-	FBXO7	CUL1	FBX|FBX07|FBX7|PARK15|PKPS	-	Affinity Capture-Western	physical	Hsu JM (2004)	PUBMED:15145941	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y3I1	-	NP_036311|NP_001028196|NP_001244919	Q13616	B3KTW0	NP_001357589|NP_003583|NP_001357591|NP_001357590|NP_001357593|NP_001357592	-	-	-	-	-	-	Homo sapiens	Homo sapiens
479664	25793	6500	117326	112391	LL22NC03-28H9.2	-	FBXO7	SKP1	FBX|FBX07|FBX7|PARK15|PKPS	EMC19|OCP-II|OCP2|SKP1A|TCEB1L|p19A	Affinity Capture-Western	physical	Hsu JM (2004)	PUBMED:15145941	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y3I1	-	NP_036311|NP_001028196|NP_001244919	P63208	-	NP_733779|NP_008861	-	-	-	-	-	-	Homo sapiens	Homo sapiens
561047	7316	25793	113164	117326	-	LL22NC03-28H9.2	UBC	FBXO7	HMG20	FBX|FBX07|FBX7|PARK15|PKPS	Affinity Capture-MS	physical	Matsumoto M (2005)	PUBMED:16196087	9606	9606	High Throughput	-	-	#LPPI|Likely protein-protein interaction|native only	-	BIOGRID	P0CG48	-	NP_066289	Q9Y3I1	-	NP_036311|NP_001028196|NP_001244919	BTO:0002181	HEK-293T cell	cell line	-	-	-	Homo sapiens	Homo sapiens
568896	7514	25793	113348	117326	-	LL22NC03-28H9.2	XPO1	FBXO7	CRM1|emb|exp1	FBX|FBX07|FBX7|PARK15|PKPS	Reconstituted Complex	physical	Nelson DE (2011)	PUBMED:21378169	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O14980	B3KWD0	NP_003391	Q9Y3I1	-	NP_036311|NP_001028196|NP_001244919	-	-	-	-	-	-	Homo sapiens	Homo sapiens
568897	25793	6500	117326	112391	LL22NC03-28H9.2	-	FBXO7	SKP1	FBX|FBX07|FBX7|PARK15|PKPS	EMC19|OCP-II|OCP2|SKP1A|TCEB1L|p19A	Reconstituted Complex	physical	Nelson DE (2011)	PUBMED:21378169	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y3I1	-	NP_036311|NP_001028196|NP_001244919	P63208	-	NP_733779|NP_008861	-	-	-	-	-	-	Homo sapiens	Homo sapiens
593319	5930	25793	111865	117326	My038	LL22NC03-28H9.2	RBBP6	FBXO7	P2P-R|PACT|RBQ-1|SNAMA	FBX|FBX07|FBX7|PARK15|PKPS	Two-hybrid	physical	Wang J (2008)	PUBMED:18624398	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q7Z6E9	-	NP_116015|NP_061173|NP_008841	Q9Y3I1	-	NP_036311|NP_001028196|NP_001244919	-	-	-	-	-	-	Homo sapiens	Homo sapiens
606458	25793	329	117326	106826	LL22NC03-28H9.2	-	FBXO7	BIRC2	FBX|FBX07|FBX7|PARK15|PKPS	API1|HIAP2|Hiap-2|MIHB|RNF48|c-IAP1|cIAP1	Affinity Capture-Western	physical	Kuiken HJ (2012)	PUBMED:22212761	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y3I1	-	NP_036311|NP_001028196|NP_001244919	Q13490	-	NP_001243092|NP_001157|NP_001243095	-	-	-	-	-	-	Homo sapiens	Homo sapiens
606460	7186	25793	113038	117326	-	LL22NC03-28H9.2	TRAF2	FBXO7	MGC:45012|TRAP|TRAP3	FBX|FBX07|FBX7|PARK15|PKPS	Affinity Capture-Western	physical	Kuiken HJ (2012)	PUBMED:22212761	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q12933	A0A024R8H5	NP_066961	Q9Y3I1	-	NP_036311|NP_001028196|NP_001244919	-	-	-	-	-	-	Homo sapiens	Homo sapiens
683712	25793	6500	117326	112391	LL22NC03-28H9.2	-	FBXO7	SKP1	FBX|FBX07|FBX7|PARK15|PKPS	EMC19|OCP-II|OCP2|SKP1A|TCEB1L|p19A	Affinity Capture-Western	physical	Hagens O (2006)	PUBMED:16278047	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y3I1	-	NP_036311|NP_001028196|NP_001244919	P63208	-	NP_733779|NP_008861	-	-	-	-	-	-	Homo sapiens	Homo sapiens
683713	25793	8454	117326	114032	LL22NC03-28H9.2	-	FBXO7	CUL1	FBX|FBX07|FBX7|PARK15|PKPS	-	Affinity Capture-Western	physical	Hagens O (2006)	PUBMED:16278047	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y3I1	-	NP_036311|NP_001028196|NP_001244919	Q13616	B3KTW0	NP_001357589|NP_003583|NP_001357591|NP_001357590|NP_001357593|NP_001357592	-	-	-	-	-	-	Homo sapiens	Homo sapiens
688796	8454	25793	114032	117326	-	LL22NC03-28H9.2	CUL1	FBXO7	-	FBX|FBX07|FBX7|PARK15|PKPS	Affinity Capture-MS	physical	Bennett EJ (2010)	PUBMED:21145461	9606	9606	High Throughput	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged Cul1|exogenous expression of bait	-	BIOGRID	Q13616	B3KTW0	NP_001357589|NP_003583|NP_001357591|NP_001357590|NP_001357593|NP_001357592	Q9Y3I1	-	NP_036311|NP_001028196|NP_001244919	BTO:0002181	HEK-293T cell	cell line	-	-	-	Homo sapiens	Homo sapiens
689489	10987	25793	116183	117326	-	LL22NC03-28H9.2	COPS5	FBXO7	CSN5|JAB1|MOV-34|SGN5	FBX|FBX07|FBX7|PARK15|PKPS	Affinity Capture-MS	physical	Bennett EJ (2010)	PUBMED:21145461	9606	9606	High Throughput	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged COPS5|exogenous expression of bait	-	BIOGRID	Q92905	A0A024R7W9	NP_006828	Q9Y3I1	-	NP_036311|NP_001028196|NP_001244919	BTO:0002181	HEK-293T cell	cell line	-	-	-	Homo sapiens	Homo sapiens
689997	10980	25793	116176	117326	-	LL22NC03-28H9.2	COPS6	FBXO7	CSN6|MOV34-34KD	FBX|FBX07|FBX7|PARK15|PKPS	Affinity Capture-MS	physical	Bennett EJ (2010)	PUBMED:21145461	9606	9606	High Throughput	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged COPS6|exogenous expression of bait	-	BIOGRID	Q7L5N1	-	NP_006824	Q9Y3I1	-	NP_036311|NP_001028196|NP_001244919	BTO:0002181	HEK-293T cell	cell line	-	-	-	Homo sapiens	Homo sapiens
886710	5071	25793	111105	117326	KB-152G3.1	LL22NC03-28H9.2	PARK2	FBXO7	AR-JP|LPRS2|PDJ|PRKN	FBX|FBX07|FBX7|PARK15|PKPS	Affinity Capture-Western	physical	Burchell VS (2013)	PUBMED:23933751	9606	9606	Low Throughput	-	-	in mitochondrial and cytosol extracts	-	BIOGRID	O60260	X5DR79	NP_054643|NP_054642|NP_004553	Q9Y3I1	-	NP_036311|NP_001028196|NP_001244919	BTO:0002181|BTO:0001938	HEK-293T cell|U2-OS cell	cell type|cell type	-|-	-|-	-|-	Homo sapiens	Homo sapiens
