#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
445773	120892	5071	125700	111105	-	KB-152G3.1	LRRK2	PARK2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	AR-JP|LPRS2|PDJ|PRKN	Affinity Capture-Western	physical	Smith WW (2005)	PUBMED:16352719	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q5S007	Q17RV3	NP_940980	O60260	X5DR79	NP_054643|NP_054642|NP_004553	-	-	-	-	-	-	Homo sapiens	Homo sapiens
445774	5071	120892	111105	125700	KB-152G3.1	-	PARK2	LRRK2	AR-JP|LPRS2|PDJ|PRKN	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	Affinity Capture-Western	physical	Smith WW (2005)	PUBMED:16352719	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60260	X5DR79	NP_054643|NP_054642|NP_004553	Q5S007	Q17RV3	NP_940980	-	-	-	-	-	-	Homo sapiens	Homo sapiens
449006	6622	120892	112506	125700	-	-	SNCA	LRRK2	NACP|PARK1|PARK4|PD1	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	Affinity Capture-Western	physical	Qing H (2009)	PUBMED:19878656	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	Q5S007	Q17RV3	NP_940980	-	-	-	-	-	-	Homo sapiens	Homo sapiens
449007	120892	6622	125700	112506	-	-	LRRK2	SNCA	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	NACP|PARK1|PARK4|PD1	Affinity Capture-Western	physical	Qing H (2009)	PUBMED:19878656	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q5S007	Q17RV3	NP_940980	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	-	-	-	-	-	-	Homo sapiens	Homo sapiens
546906	120892	10273	125700	115563	-	LA16c-313D11.6	LRRK2	STUB1	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	CHIP|HSPABP2|NY-CO-7|SCAR16|SDCCAG7|UBOX1	Affinity Capture-Western	physical	Ko HS (2009)	PUBMED:19196961	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q5S007	Q17RV3	NP_940980	Q9UNE7	-	NP_005852|NP_001280126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
546907	10273	120892	115563	125700	LA16c-313D11.6	-	STUB1	LRRK2	CHIP|HSPABP2|NY-CO-7|SCAR16|SDCCAG7|UBOX1	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	Affinity Capture-Western	physical	Ko HS (2009)	PUBMED:19196961	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9UNE7	-	NP_005852|NP_001280126	Q5S007	Q17RV3	NP_940980	-	-	-	-	-	-	Homo sapiens	Homo sapiens
590078	10273	120892	115563	125700	LA16c-313D11.6	-	STUB1	LRRK2	CHIP|HSPABP2|NY-CO-7|SCAR16|SDCCAG7|UBOX1	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	Affinity Capture-Western	physical	Ding X (2009)	PUBMED:19536328	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9UNE7	-	NP_005852|NP_001280126	Q5S007	Q17RV3	NP_940980	-	-	-	-	-	-	Homo sapiens	Homo sapiens
590079	120892	10273	125700	115563	-	LA16c-313D11.6	LRRK2	STUB1	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	CHIP|HSPABP2|NY-CO-7|SCAR16|SDCCAG7|UBOX1	Affinity Capture-Western	physical	Ding X (2009)	PUBMED:19536328	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q5S007	Q17RV3	NP_940980	Q9UNE7	-	NP_005852|NP_001280126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
590080	3320	120892	109552	125700	-	-	HSP90AA1	LRRK2	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	Affinity Capture-Western	physical	Ding X (2009)	PUBMED:19536328	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	Q5S007	Q17RV3	NP_940980	-	-	-	-	-	-	Homo sapiens	Homo sapiens
590081	120892	3320	125700	109552	-	-	LRRK2	HSP90AA1	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Affinity Capture-Western	physical	Ding X (2009)	PUBMED:19536328	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q5S007	Q17RV3	NP_940980	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	-	-	-	-	-	-	Homo sapiens	Homo sapiens
722602	120892	84790	125700	124259	-	-	LRRK2	TUBA1C	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	TUBA6|bcm948	Affinity Capture-MS	physical	Gandhi PN (2008)	PUBMED:18214993	9606	9606	Low Throughput	-	-	figure 1.	-	BIOGRID	Q5S007	Q17RV3	NP_940980	Q9BQE3	F5H5D3	NP_001290045|NP_001290044|NP_001290046|NP_116093|NP_001290043	-	-	-	-	-	-	Homo sapiens	Homo sapiens
722603	120892	203068	125700	128444	-	DAAP-285E11.4	LRRK2	TUBB	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	CDCBM6|M40|OK/SW-cl.56|TUBB1|TUBB5	Affinity Capture-MS	physical	Gandhi PN (2008)	PUBMED:18214993	9606	9606	Low Throughput	-	-	figure 1.	-	BIOGRID	Q5S007	Q17RV3	NP_940980	P07437	Q5ST81|B4DY90|B4DQN9|B4DMJ5|Q5SU16	NP_001280145|NP_001280144|NP_821133|NP_001280141|NP_001280143|NP_001280142	-	-	-	-	-	-	Homo sapiens	Homo sapiens
