#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
555996	65018	5071	122376	111105	-	KB-152G3.1	PINK1	PARK2	BRPK|PARK6	AR-JP|LPRS2|PDJ|PRKN	Reconstituted Complex	physical	Shiba K (2009)	PUBMED:19358826	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9BXM7	-	NP_115785	O60260	X5DR79	NP_054643|NP_054642|NP_004553	-	-	-	-	-	-	Homo sapiens	Homo sapiens
555997	65018	5071	122376	111105	-	KB-152G3.1	PINK1	PARK2	BRPK|PARK6	AR-JP|LPRS2|PDJ|PRKN	Affinity Capture-Western	physical	Shiba K (2009)	PUBMED:19358826	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9BXM7	-	NP_115785	O60260	X5DR79	NP_054643|NP_054642|NP_004553	-	-	-	-	-	-	Homo sapiens	Homo sapiens
589456	5728	65018	111700	122376	-	-	PTEN	PINK1	10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1	BRPK|PARK6	Affinity Capture-MS	physical	Crockett DK (2005)	PUBMED:15717329	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P60484	F6KD01	NP_001291646|NP_000305	Q9BXM7	-	NP_115785	-	-	-	-	-	-	Homo sapiens	Homo sapiens
677640	65018	65018	122376	122376	-	-	PINK1	PINK1	BRPK|PARK6	BRPK|PARK6	Biochemical Activity	physical	Nakajima A (2003)	PUBMED:14607334	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	Q9BXM7	-	NP_115785	Q9BXM7	-	NP_115785	-	-	-	-	-	-	Homo sapiens	Homo sapiens
679257	65018	4131	122376	110304	-	-	PINK1	MAP1B	BRPK|PARK6	FUTSCH|MAP5|PPP1R102	Affinity Capture-MS	physical	Imai Y (2010)	PUBMED:21151955	9606	9606	High Throughput	-	-	exogenous expression of bait	-	BIOGRID	Q9BXM7	-	NP_115785	P46821	Q6PJD3|Q86X89	NP_001311184|NP_005900	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
679258	65018	5591	122376	111577	-	-	PINK1	PRKDC	BRPK|PARK6	DNA-PKcs|DNAPK|DNPK1|HYRC|HYRC1|IMD26|XRCC7|p350	Affinity Capture-MS	physical	Imai Y (2010)	PUBMED:21151955	9606	9606	High Throughput	-	-	exogenous expression of bait	-	BIOGRID	Q9BXM7	-	NP_115785	P78527	-	NP_001075109|NP_008835	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
679259	65018	8471	122376	114048	-	-	PINK1	IRS4	BRPK|PARK6	IRS-4|PY160	Affinity Capture-MS	physical	Imai Y (2010)	PUBMED:21151955	9606	9606	High Throughput	-	-	exogenous expression of bait	-	BIOGRID	Q9BXM7	-	NP_115785	O14654	-	NP_001366079|NP_003595	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
679260	65018	3832	122376	110030	-	-	PINK1	KIF11	BRPK|PARK6	EG5|HKSP|KNSL1|MCLMR|TRIP5	Affinity Capture-MS	physical	Imai Y (2010)	PUBMED:21151955	9606	9606	High Throughput	-	-	exogenous expression of bait	-	BIOGRID	Q9BXM7	-	NP_115785	P52732	-	NP_004514	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
679261	65018	5707	122376	111680	-	-	PINK1	PSMD1	BRPK|PARK6	P112|Rpn2|S1	Affinity Capture-MS	physical	Imai Y (2010)	PUBMED:21151955	9606	9606	High Throughput	-	-	exogenous expression of bait	-	BIOGRID	Q9BXM7	-	NP_115785	Q99460	-	NP_001177966|NP_002798	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
679262	65018	5708	122376	111681	-	-	PINK1	PSMD2	BRPK|PARK6	P97|RPN1|S2|TRAP2	Affinity Capture-MS	physical	Imai Y (2010)	PUBMED:21151955	9606	9606	High Throughput	-	-	exogenous expression of bait	-	BIOGRID	Q9BXM7	-	NP_115785	Q13200	-	NP_001265637|NP_001265638|NP_002799	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
679263	65018	3320	122376	109552	-	-	PINK1	HSP90AA1	BRPK|PARK6	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Affinity Capture-MS	physical	Imai Y (2010)	PUBMED:21151955	9606	9606	High Throughput	-	-	exogenous expression of bait	-	BIOGRID	Q9BXM7	-	NP_115785	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
