#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
471000	10273	23317	115563	116908	LA16c-313D11.6	-	STUB1	DNAJC13	CHIP|HSPABP2|NY-CO-7|SCAR16|SDCCAG7|UBOX1	RME8	Affinity Capture-MS	physical	Tateishi Y (2004)	PUBMED:15538384	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9UNE7	-	NP_005852|NP_001280126	O75165	-	NP_001316055|NP_056083	-	-	-	-	-	-	Homo sapiens	Homo sapiens
591119	801	23317	107252	116908	-	-	CALM1	DNAJC13	CALML2|CAMI|CPVT4|DD132|PHKD|caM	RME8	Reconstituted Complex	physical	Shen X (2005)	PUBMED:15840729	9606	9606	High Throughput	-	-	High Throughput: An amplification-based in vitro protein selection technique was used to identify molecules that bound to calmodulin (CaM) in a calcium-dependent manner.	-	BIOGRID	P62158	B4DJ51|E7ETZ0	NP_001350598|NP_001350599|NP_008819	O75165	-	NP_001316055|NP_056083	-	-	-	-	-	-	Homo sapiens	Homo sapiens
601146	2932	23317	109187	116908	-	-	GSK3B	DNAJC13	-	RME8	Two-hybrid	physical	Vinayagam A (2011)	PUBMED:21900206	9606	9606	High Throughput	-	-	-	-	BIOGRID	P49841	Q6FI27	NP_001139628|NP_001341525|NP_002084	O75165	-	NP_001316055|NP_056083	-	-	-	-	-	-	Homo sapiens	Homo sapiens
602413	51726	23317	119699	116908	PSEC0121	-	DNAJB11	DNAJC13	ABBP-2|ABBP2|DJ9|Dj-9|EDJ|ERdj3|ERj3|ERj3p|PRO1080|UNQ537	RME8	Two-hybrid	physical	Vinayagam A (2011)	PUBMED:21900206	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q9UBS4	-	NP_057390	O75165	-	NP_001316055|NP_056083	-	-	-	-	-	-	Homo sapiens	Homo sapiens
602788	27330	23317	118144	116908	-	-	RPS6KA6	DNAJC13	PP90RSK4|RSK4	RME8	Two-hybrid	physical	Vinayagam A (2011)	PUBMED:21900206	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q9UK32	-	NP_001317441|NP_055311	O75165	-	NP_001316055|NP_056083	-	-	-	-	-	-	Homo sapiens	Homo sapiens
603449	1647	23317	108014	116908	RP5-975D15.1	-	GADD45A	DNAJC13	DDIT1|GADD45	RME8	Two-hybrid	physical	Vinayagam A (2011)	PUBMED:21900206	9606	9606	High Throughput	-	-	-	-	BIOGRID	P24522	A5JUZ3	NP_001915|NP_001186670|NP_001186671	O75165	-	NP_001316055|NP_056083	-	-	-	-	-	-	Homo sapiens	Homo sapiens
686170	8452	23317	114030	116908	-	-	CUL3	DNAJC13	CUL-3|PHA2E	RME8	Affinity Capture-MS	physical	Bennett EJ (2010)	PUBMED:21145461	9606	9606	High Throughput	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged Cul3|exogenous expression of bait	-	BIOGRID	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	O75165	-	NP_001316055|NP_056083	BTO:0002181	HEK-293T cell	cell line	-	-	-	Homo sapiens	Homo sapiens
721723	6642	23317	112525	116908	-	-	SNX1	DNAJC13	HsT17379|VPS5	RME8	Affinity Capture-Western	physical	Popoff V (2009)	PUBMED:19874558	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13596	-	NP_001229862|NP_003090|NP_683758	O75165	-	NP_001316055|NP_056083	-	-	-	-	-	-	Homo sapiens	Homo sapiens
737362	525	23317	107008	116908	-	-	ATP6V1B1	DNAJC13	ATP6B1|RTA1B|VATB|VMA2|VPP3	RME8	Affinity Capture-MS	physical	Nylandsted J (2011)	PUBMED:21674799	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P15313	-	NP_001683	O75165	-	NP_001316055|NP_056083	-	-	-	-	-	-	Homo sapiens	Homo sapiens
861733	4869	23317	110929	116908	-	-	NPM1	DNAJC13	B23|NPM	RME8	Affinity Capture-MS	physical	Chen R (2013)	PUBMED:23402259	9606	9606	High Throughput	-	-	-	-	BIOGRID	P06748	-	NP_001032827|NP_954654|NP_001341938|NP_001341939|NP_001341935|NP_002511|NP_001341936	O75165	-	NP_001316055|NP_056083	-	-	-	-	-	-	Homo sapiens	Homo sapiens
