#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
10432	9627	6622	114986	112506	-	-	SNCAIP	SNCA	SYPH1|Sph1	NACP|PARK1|PARK4|PD1	Two-hybrid	physical	Neystat M (2002)	PUBMED:12044636	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y6H5	Q9NVG1	NP_001295034|NP_005451|NP_001295029|NP_001229864	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	-	-	-	-	-	-	Homo sapiens	Homo sapiens
259232	5414	6622	111415	112506	hucep-7	-	SEPT4	SNCA	ARTS|BRADEION|CE5B3|H5|MART|PNUTL2|SEP4|hCDCREL-2	NACP|PARK1|PARK4|PD1	Affinity Capture-Western	physical	Ihara M (2003)	PUBMED:12695511	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O43236	J3KSZ7	NP_001243751|NP_536341|NP_536340|NP_001185642|NP_001243711|NP_001355700|NP_001355701|NP_004565|NP_001350732	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	-	-	-	-	-	-	Homo sapiens	Homo sapiens
259233	4735	6622	110812	112506	-	-	SEPT2	SNCA	DIFF6|NEDD-5|NEDD5|Pnutl3|hNedd5	NACP|PARK1|PARK4|PD1	Affinity Capture-Western	physical	Ihara M (2003)	PUBMED:12695511	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q15019	-	NP_004395|NP_001336235|NP_006146|NP_001336234|NP_001307964|NP_001008491|NP_001307960|NP_001307963|NP_001008492|NP_001269901|NP_001269902|NP_001336220|NP_001336244|NP_001307962|NP_001336240|NP_001336241|NP_001336242|NP_001336243|NP_001307961|NP_001336239|NP_001336238|NP_001336231|NP_001336233|NP_001307958|NP_001307959|NP_001336237|NP_001336236|NP_001336217|NP_001336216|NP_001336219|NP_001336218	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	-	-	-	-	-	-	Homo sapiens	Homo sapiens
259490	6622	6531	112506	112422	-	-	SNCA	SLC6A3	NACP|PARK1|PARK4|PD1	DAT|DAT1|PKDYS	Affinity Capture-Western	physical	Wersinger C (2003)	PUBMED:12672538	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	Q01959	-	NP_001035	-	-	-	-	-	-	Homo sapiens	Homo sapiens
259491	6531	6622	112422	112506	-	-	SLC6A3	SNCA	DAT|DAT1|PKDYS	NACP|PARK1|PARK4|PD1	Affinity Capture-Western	physical	Wersinger C (2003)	PUBMED:12672538	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q01959	-	NP_001035	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	-	-	-	-	-	-	Homo sapiens	Homo sapiens
276385	5337	6622	111353	112506	-	-	PLD1	SNCA	-	NACP|PARK1|PARK4|PD1	Affinity Capture-Western	physical	Ahn BH (2002)	PUBMED:11821392	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13393	Q59EA4	NP_002653|NP_001123553	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	-	-	-	-	-	-	Homo sapiens	Homo sapiens
276386	6622	5337	112506	111353	-	-	SNCA	PLD1	NACP|PARK1|PARK4|PD1	-	Reconstituted Complex	physical	Ahn BH (2002)	PUBMED:11821392	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	Q13393	Q59EA4	NP_002653|NP_001123553	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280210	6622	5595	112506	111581	-	-	SNCA	MAPK3	NACP|PARK1|PARK4|PD1	ERK-1|ERK1|ERT2|HS44KDAP|HUMKER1A|P44ERK1|P44MAPK|PRKM3|p44-ERK1|p44-MAPK	Affinity Capture-Western	physical	Pan ZZ (2002)	PUBMED:12121974	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	P27361	Q9BWJ1|L7RXH5	NP_002737|NP_001103361|NP_001035145	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280211	6622	5594	112506	111580	-	-	SNCA	MAPK1	NACP|PARK1|PARK4|PD1	ERK|ERK-2|ERK2|ERT1|MAPK2|P42MAPK|PRKM1|PRKM2|p38|p40|p41|p41mapk|p42-MAPK	Affinity Capture-Western	physical	Pan ZZ (2002)	PUBMED:12121974	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	P28482	Q1HBJ4|Q499G7	NP_002736|NP_620407	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280212	6622	5599	112506	111585	-	-	SNCA	MAPK8	NACP|PARK1|PARK4|PD1	JNK|JNK-46|JNK1|JNK1A2|JNK21B1/2|PRKM8|SAPK1|SAPK1c	Affinity Capture-Western	physical	Pan ZZ (2002)	PUBMED:12121974	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	P45983	A1L4K2	NP_001310257|NP_001310256|NP_001310255|NP_001310254|NP_001310253|NP_001310252|NP_001310251|NP_001310250|NP_001265476|NP_001265477|NP_001310249|NP_001310259|NP_001310258|NP_620637|NP_620634|NP_001310260|NP_001310231|NP_002741	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280842	9627	6622	114986	112506	-	-	SNCAIP	SNCA	SYPH1|Sph1	NACP|PARK1|PARK4|PD1	FRET	physical	Kawamata H (2001)	PUBMED:11331421	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y6H5	Q9NVG1	NP_001295034|NP_005451|NP_001295029|NP_001229864	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	-	-	-	-	-	-	Homo sapiens	Homo sapiens
282082	6620	6622	112504	112506	-	-	SNCB	SNCA	-	NACP|PARK1|PARK4|PD1	Affinity Capture-Western	physical	Hashimoto M (2001)	PUBMED:11683992	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q16143	-	NP_003076|NP_001304964|NP_001304965|NP_001304966|NP_001001502|NP_001304963	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	-	-	-	-	-	-	Homo sapiens	Homo sapiens
283184	4137	6622	110308	112506	-	-	MAPT	SNCA	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	NACP|PARK1|PARK4|PD1	Reconstituted Complex	physical	Jensen PH (1999)	PUBMED:10464279	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P10636	B3KTM0|A0A024R9Y1|A0A024RA17|A0A024RA19|A0A024R9Y0	NP_001364195|NP_001364194|NP_005901|NP_001364197|NP_001364196|NP_058519|NP_058518|NP_001190181|NP_001190180|NP_001116538|NP_001116539|NP_058525	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	-	-	-	-	-	-	Homo sapiens	Homo sapiens
283185	6622	4137	112506	110308	-	-	SNCA	MAPT	NACP|PARK1|PARK4|PD1	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	Co-purification	physical	Jensen PH (1999)	PUBMED:10464279	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	P10636	B3KTM0|A0A024R9Y1|A0A024RA17|A0A024RA19|A0A024R9Y0	NP_001364195|NP_001364194|NP_005901|NP_001364197|NP_001364196|NP_058519|NP_058518|NP_001190181|NP_001190180|NP_001116538|NP_001116539|NP_058525	-	-	-	-	-	-	Homo sapiens	Homo sapiens
286256	1861	6622	108193	112506	-	-	TOR1A	SNCA	DQ2|DYT1	NACP|PARK1|PARK4|PD1	FRET	physical	Sharma N (2001)	PUBMED:11438481	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O14656	B3KPA1	NP_000104	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	-	-	-	-	-	-	Homo sapiens	Homo sapiens
286298	801	6622	107252	112506	-	-	CALM1	SNCA	CALML2|CAMI|CPVT4|DD132|PHKD|caM	NACP|PARK1|PARK4|PD1	Reconstituted Complex	physical	Lee D (2002)	PUBMED:12358748	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P62158	B4DJ51|E7ETZ0	NP_001350598|NP_001350599|NP_008819	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	-	-	-	-	-	-	Homo sapiens	Homo sapiens
288274	6622	9627	112506	114986	-	-	SNCA	SNCAIP	NACP|PARK1|PARK4|PD1	SYPH1|Sph1	Two-hybrid	physical	Engelender S (1999)	PUBMED:10319874	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	Q9Y6H5	Q9NVG1	NP_001295034|NP_005451|NP_001295029|NP_001229864	-	-	-	-	-	-	Homo sapiens	Homo sapiens
288275	6622	9627	112506	114986	-	-	SNCA	SNCAIP	NACP|PARK1|PARK4|PD1	SYPH1|Sph1	Reconstituted Complex	physical	Engelender S (1999)	PUBMED:10319874	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	Q9Y6H5	Q9NVG1	NP_001295034|NP_005451|NP_001295029|NP_001229864	-	-	-	-	-	-	Homo sapiens	Homo sapiens
288276	9627	6622	114986	112506	-	-	SNCAIP	SNCA	SYPH1|Sph1	NACP|PARK1|PARK4|PD1	Affinity Capture-Western	physical	Engelender S (1999)	PUBMED:10319874	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y6H5	Q9NVG1	NP_001295034|NP_005451|NP_001295029|NP_001229864	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	-	-	-	-	-	-	Homo sapiens	Homo sapiens
288373	2534	6622	108810	112506	RP1-66H14.1	-	FYN	SNCA	SLK|SYN|p59-FYN	NACP|PARK1|PARK4|PD1	Biochemical Activity	physical	Nakamura T (2001)	PUBMED:11162638	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P06241	-	NP_002028|NP_001357458|NP_694593|NP_694592	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	-	-	-	-	-	-	Homo sapiens	Homo sapiens
289199	351	6622	106848	112506	-	-	APP	SNCA	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	NACP|PARK1|PARK4|PD1	Reconstituted Complex	physical	Jensen PH (1997)	PUBMED:9163350	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	-	-	-	-	-	-	Homo sapiens	Homo sapiens
300616	6622	4131	112506	110304	-	-	SNCA	MAP1B	NACP|PARK1|PARK4|PD1	FUTSCH|MAP5|PPP1R102	Reconstituted Complex	physical	Jensen PH (2000)	PUBMED:10764738	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	P46821	Q6PJD3|Q86X89	NP_001311184|NP_005900	-	-	-	-	-	-	Homo sapiens	Homo sapiens
301298	5071	6622	111105	112506	KB-152G3.1	-	PARK2	SNCA	AR-JP|LPRS2|PDJ|PRKN	NACP|PARK1|PARK4|PD1	Affinity Capture-Western	physical	Choi P (2001)	PUBMED:11588587	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60260	X5DR79	NP_054643|NP_054642|NP_004553	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	-	-	-	-	-	-	Homo sapiens	Homo sapiens
301299	6622	5071	112506	111105	-	KB-152G3.1	SNCA	PARK2	NACP|PARK1|PARK4|PD1	AR-JP|LPRS2|PDJ|PRKN	Affinity Capture-Western	physical	Choi P (2001)	PUBMED:11588587	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	O60260	X5DR79	NP_054643|NP_054642|NP_004553	-	-	-	-	-	-	Homo sapiens	Homo sapiens
303015	2869	6622	109127	112506	RP11-714M16.1	-	GRK5	SNCA	GPRK5	NACP|PARK1|PARK4|PD1	Biochemical Activity	physical	Pronin AN (2000)	PUBMED:10852916	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P34947	-	NP_005299	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	-	-	-	-	-	-	Homo sapiens	Homo sapiens
303019	6011	6622	111943	112506	-	-	GRK1	SNCA	GPRK1|RHOK|RK	NACP|PARK1|PARK4|PD1	Biochemical Activity	physical	Pronin AN (2000)	PUBMED:10852916	9606	9606	Low Throughput	-	Phosphorylation	Data not shown.  Not clear which organism GRK1 came from.	-	BIOGRID	Q15835	-	NP_002920	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	-	-	-	-	-	-	Homo sapiens	Homo sapiens
303022	2870	6622	109128	112506	-	-	GRK6	SNCA	GPRK6	NACP|PARK1|PARK4|PD1	Biochemical Activity	physical	Pronin AN (2000)	PUBMED:10852916	9606	9606	Low Throughput	-	Phosphorylation	Data not shown.  Not clear which organism GRK6 came from.	-	BIOGRID	P43250	B3KPS5	NP_002073|NP_001004106|NP_001004105	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	-	-	-	-	-	-	Homo sapiens	Homo sapiens
303025	282682	6622	159836	112506	BOS_24950	-	ADRBK1	SNCA	GRK2	NACP|PARK1|PARK4|PD1	Biochemical Activity	physical	Pronin AN (2000)	PUBMED:10852916	9913	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P21146	-	NP_777135	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	-	-	-	-	-	-	Bos taurus	Homo sapiens
