Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
866	351	10513	106848	115769	-	-	APP	APPBP2	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	APP-BP2|HS.84084|PAT1	Two-hybrid	physical	Zheng P (1998)	9843960	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
7002	904	2896	107343	109153	-	-	CCNT1	GRN	CCNT|CYCT1|HIVE1	CLN11|GEP|GP88|PCDGF|PEPI|PGRN	Two-hybrid	physical	Hoque M (2003)	12588988	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
119701	8878	11345	114397	116473	-	-	SQSTM1	GABARAPL2	A170|OSIL|PDB3|ZIP3|p60|p62|p62B	ATG8|ATG8C|GATE-16|GATE16|GEF-2|GEF2	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120338	5886	8878	111823	114397	-	-	RAD23A	SQSTM1	HHR23A|HR23A	A170|OSIL|PDB3|ZIP3|p60|p62|p62B	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120469	8878	23710	114397	117223	-	-	SQSTM1	GABARAPL1	A170|OSIL|PDB3|ZIP3|p60|p62|p62B	APG8-LIKE|APG8L|ATG8|ATG8B|ATG8L|GEC1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120650	2896	348487	109153	131523	-	RP11-5P18.9	GRN	FAM131C	CLN11|GEP|GP88|PCDGF|PEPI|PGRN	C1orf117	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121927	2896	3198	109153	109438	-	-	GRN	HOXA1	CLN11|GEP|GP88|PCDGF|PEPI|PGRN	BSAS|HOX1|HOX1F	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
126291	5886	8878	111823	114397	-	-	RAD23A	SQSTM1	HHR23A|HR23A	A170|OSIL|PDB3|ZIP3|p60|p62|p62B	Affinity Capture-Western	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
245020	5728	367	111700	106862	-	RP11-383C12.1	PTEN	AR	10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1	AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	Reconstituted Complex	physical	Lin HK (2004)	15205473	9606	9606	Low Throughput	-	-	-	The interaction between PTEN and AR inhibits the AR nuclear translocation and promotes the AR protein degradation that result in the suppression of AR transactivation and induction of apoptosis. The minimum interaction peptide within AR (amino acids 483-6	-	BIOGRID
245021	5728	367	111700	106862	-	RP11-383C12.1	PTEN	AR	10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1	AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	Affinity Capture-Western	physical	Lin HK (2004)	15205473	9606	9606	Low Throughput	-	-	-	The interaction between PTEN and AR inhibits the AR nuclear translocation and promotes the AR protein degradation that result in the suppression of AR transactivation and induction of apoptosis. The minimum interaction peptide within AR (amino acids 483-6	-	BIOGRID
245558	5728	2099	111700	108403	-	RP1-130E4.1	PTEN	ESR1	10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1	ER|ESR|ESRA|ESTRR|Era|NR3A1	Reconstituted Complex	physical	Lin HK (2004)	15205473	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
252119	22883	351	116550	106848	RP11-558F24.5	-	CLSTN1	APP	ALC-ALPHA|CDHR12|CST-1|CSTN1|PIK3CD|XB31alpha|alcalpha1|alcalpha2	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Affinity Capture-Western	physical	Araki Y (2004)	15037614	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
253502	323	351	106820	106848	-	-	APBB2	APP	FE65L|FE65L1	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Affinity Capture-Western	physical	Chang Y (2003)	14527950	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
255172	351	22883	106848	116550	-	RP11-558F24.5	APP	CLSTN1	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	ALC-ALPHA|CDHR12|CST-1|CSTN1|PIK3CD|XB31alpha|alcalpha1|alcalpha2	Affinity Capture-Western	physical	Araki Y (2003)	12972431	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
255173	351	321	106848	106818	-	-	APP	APBA2	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	D15S1518E|HsT16821|LIN-10|MGC:14091|MINT2|X11-BETA|X11L	Affinity Capture-Western	physical	Araki Y (2003)	12972431	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
255174	321	351	106818	106848	-	-	APBA2	APP	D15S1518E|HsT16821|LIN-10|MGC:14091|MINT2|X11-BETA|X11L	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Affinity Capture-Western	physical	Araki Y (2003)	12972431	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
255279	348	7804	106845	113579	-	RP5-1024G6.8	APOE	LRP8	AD2|APO-E|LDLCQ5|LPG	APOER2|HSZ75190|LRP-8|MCI1	Reconstituted Complex	physical	Li X (2003)	12950167	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
256734	348	5360	106845	111374	-	-	APOE	PLTP	AD2|APO-E|LDLCQ5|LPG	BPIFE|HDLCQ9	Affinity Capture-Western	physical	Siggins S (2003)	12810820	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260003	5728	7332	111700	113180	-	-	PTEN	UBE2L3	10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1	E2-F1|L-UBC|UBCH7|UbcM4	Affinity Capture-Western	physical	Waite KA (2003)	12620973	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260004	5728	7329	111700	113177	-	LA16c-358B7.1	PTEN	UBE2I	10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1	C358B7.1|P18|UBC9	Affinity Capture-Western	physical	Waite KA (2003)	12620973	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260005	5728	7157	111700	113010	-	-	PTEN	TP53	10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Freeman DJ (2003)	12620407	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260006	7157	5728	113010	111700	-	-	TP53	PTEN	BCC7|LFS1|P53|TRP53	10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1	Affinity Capture-Western	physical	Freeman DJ (2003)	12620407	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260507	904	2896	107343	109153	-	-	CCNT1	GRN	CCNT|CYCT1|HIVE1	CLN11|GEP|GP88|PCDGF|PEPI|PGRN	Reconstituted Complex	physical	Hoque M (2003)	12588988	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260509	2896	904	109153	107343	-	-	GRN	CCNT1	CLN11|GEP|GP88|PCDGF|PEPI|PGRN	CCNT|CYCT1|HIVE1	Affinity Capture-Western	physical	Hoque M (2003)	12588988	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260510	2896	1025	109153	107459	-	RP11-228B15.5	GRN	CDK9	CLN11|GEP|GP88|PCDGF|PEPI|PGRN	C-2k|CDC2L4|CTK1|PITALRE|TAK	Affinity Capture-Western	physical	Hoque M (2003)	12588988	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260511	6898	2896	112761	109153	-	-	TAT	GRN	-	CLN11|GEP|GP88|PCDGF|PEPI|PGRN	Reconstituted Complex	physical	Hoque M (2003)	12588988	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260512	2896	6898	109153	112761	-	-	GRN	TAT	CLN11|GEP|GP88|PCDGF|PEPI|PGRN	-	Affinity Capture-Western	physical	Hoque M (2003)	12588988	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
262809	1457	5728	107841	111700	-	-	CSNK2A1	PTEN	CK2A1|CKII|CSNK2A3	10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1	Biochemical Activity	physical	Miller SJ (2002)	12297295	9606	9606	Low Throughput	-	Phosphorylation	-	-	-	BIOGRID
262810	1459	5728	107842	111700	-	-	CSNK2A2	PTEN	CK2A2|CSNK2A1	10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1	Biochemical Activity	physical	Miller SJ (2002)	12297295	9606	9606	Low Throughput	-	Phosphorylation	-	-	-	BIOGRID
262811	5728	1457	111700	107841	-	-	PTEN	CSNK2A1	10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1	CK2A1|CKII|CSNK2A3	Reconstituted Complex	physical	Miller SJ (2002)	12297295	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
262812	5728	1459	111700	107842	-	-	PTEN	CSNK2A2	10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1	CK2A2|CSNK2A1	Reconstituted Complex	physical	Miller SJ (2002)	12297295	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
269858	5728	10813	111700	116026	-	RP4-537K23.16-001	PTEN	UTP14A	10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1	NYCO16|SDCCAG16|dJ537K23.3	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	1.0	-	-	-	-	BIOGRID
270680	5728	283	111700	106780	-	-	PTEN	ANG	10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1	ALS9|HEL168|RAA1|RNASE4|RNASE5	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	2.0	-	-	-	-	BIOGRID
270681	5728	1114	111700	107539	-	-	PTEN	CHGB	10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1	SCG1	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	2.0	-	-	-	-	BIOGRID
270682	5728	10980	111700	116176	-	-	PTEN	COPS6	10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1	CSN6|MOV34-34KD	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	2.0	-	-	-	-	BIOGRID
270683	5728	3039	111700	109289	-	-	PTEN	HBA1	10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1	HBA-T3|HBH	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	2.0	-	-	-	-	BIOGRID
270803	8878	8878	114397	114397	-	-	SQSTM1	SQSTM1	A170|OSIL|PDB3|ZIP3|p60|p62|p62B	A170|OSIL|PDB3|ZIP3|p60|p62|p62B	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	2.0	-	-	-	-	BIOGRID
270982	79686	8878	122809	114397	-	-	LINC00341	SQSTM1	C14orf139|NCRNA00341	A170|OSIL|PDB3|ZIP3|p60|p62|p62B	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	3.0	-	-	-	-	BIOGRID
271199	81631	8878	123565	114397	-	-	MAP1LC3B	SQSTM1	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	A170|OSIL|PDB3|ZIP3|p60|p62|p62B	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	3.0	-	-	-	-	BIOGRID
274934	351	2192	106848	108486	-	CTA-941F9.7	APP	FBLN1	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	FBLN|FIBL1	Two-hybrid	physical	Ohsawa I (2001)	11238726	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
274935	2192	351	108486	106848	CTA-941F9.7	-	FBLN1	APP	FBLN|FIBL1	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Reconstituted Complex	physical	Ohsawa I (2001)	11238726	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
274936	351	2192	106848	108486	-	CTA-941F9.7	APP	FBLN1	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	FBLN|FIBL1	Affinity Capture-Western	physical	Ohsawa I (2001)	11238726	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
275061	351	320	106848	106817	-	-	APP	APBA1	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	D9S411E|LIN10|MINT1|X11|X11A|X11ALPHA	Affinity Capture-Western	physical	Biederer T (2002)	12196555	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
275062	351	321	106848	106818	-	-	APP	APBA2	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	D15S1518E|HsT16821|LIN-10|MGC:14091|MINT2|X11-BETA|X11L	Affinity Capture-Western	physical	Biederer T (2002)	12196555	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
275063	351	9546	106848	114920	-	-	APP	APBA3	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	MGC:15815|X11L2|mint3	Affinity Capture-Western	physical	Biederer T (2002)	12196555	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
275067	351	320	106848	106817	-	-	APP	APBA1	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	D9S411E|LIN10|MINT1|X11|X11A|X11ALPHA	Reconstituted Complex	physical	Biederer T (2002)	12196555	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
275068	351	321	106848	106818	-	-	APP	APBA2	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	D15S1518E|HsT16821|LIN-10|MGC:14091|MINT2|X11-BETA|X11L	Reconstituted Complex	physical	Biederer T (2002)	12196555	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
