#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
256474	30011	8867	119029	114388	RP11-345L8.1	-	SH3KBP1	SYNJ1	CD2BP3|CIN85|GIG10|HSB-1|HSB1|MIG18	INPP5G|PARK20	Affinity Capture-Western	physical	Kurakin AV (2003)	PUBMED:12829691	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96B97	Q5JPT6	NP_001171889|NP_114098|NP_001340819|NP_001019837|NP_001340824|NP_001340821|NP_001340820|NP_001340823|NP_001340822	O43426	J3KPK1|Q05CZ1|B9EGN3|C9JFZ1|J3KQV8	NP_001153778|NP_982271|NP_003886|NP_001153774	-	-	-	-	-	-	Homo sapiens	Homo sapiens
256476	30011	8867	119029	114388	RP11-345L8.1	-	SH3KBP1	SYNJ1	CD2BP3|CIN85|GIG10|HSB-1|HSB1|MIG18	INPP5G|PARK20	Far Western	physical	Kurakin AV (2003)	PUBMED:12829691	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96B97	Q5JPT6	NP_001171889|NP_114098|NP_001340819|NP_001019837|NP_001340824|NP_001340821|NP_001340820|NP_001340823|NP_001340822	O43426	J3KPK1|Q05CZ1|B9EGN3|C9JFZ1|J3KQV8	NP_001153778|NP_982271|NP_003886|NP_001153774	-	-	-	-	-	-	Homo sapiens	Homo sapiens
276706	8867	273	114388	106770	-	-	SYNJ1	AMPH	INPP5G|PARK20	AMPH1	Reconstituted Complex	physical	Micheva KD (1997)	PUBMED:9341169	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O43426	J3KPK1|Q05CZ1|B9EGN3|C9JFZ1|J3KQV8	NP_001153778|NP_982271|NP_003886|NP_001153774	P49418	-	NP_647477|NP_001626	-	-	-	-	-	-	Homo sapiens	Homo sapiens
276707	8867	6456	114388	112353	-	-	SYNJ1	SH3GL2	INPP5G|PARK20	CNSA2|EEN-B1|SH3D2A|SH3P4	Reconstituted Complex	physical	Micheva KD (1997)	PUBMED:9341169	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O43426	J3KPK1|Q05CZ1|B9EGN3|C9JFZ1|J3KQV8	NP_001153778|NP_982271|NP_003886|NP_001153774	Q99962	Q7Z376	NP_003017	-	-	-	-	-	-	Homo sapiens	Homo sapiens
276709	6456	8867	112353	114388	-	-	SH3GL2	SYNJ1	CNSA2|EEN-B1|SH3D2A|SH3P4	INPP5G|PARK20	Reconstituted Complex	physical	Micheva KD (1997)	PUBMED:9341169	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99962	Q7Z376	NP_003017	O43426	J3KPK1|Q05CZ1|B9EGN3|C9JFZ1|J3KQV8	NP_001153778|NP_982271|NP_003886|NP_001153774	-	-	-	-	-	-	Homo sapiens	Homo sapiens
276714	6456	8867	112353	114388	-	-	SH3GL2	SYNJ1	CNSA2|EEN-B1|SH3D2A|SH3P4	INPP5G|PARK20	Affinity Capture-Western	physical	Micheva KD (1997)	PUBMED:9341169	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99962	Q7Z376	NP_003017	O43426	J3KPK1|Q05CZ1|B9EGN3|C9JFZ1|J3KQV8	NP_001153778|NP_982271|NP_003886|NP_001153774	-	-	-	-	-	-	Homo sapiens	Homo sapiens
276716	273	8867	106770	114388	-	-	AMPH	SYNJ1	AMPH1	INPP5G|PARK20	Affinity Capture-Western	physical	Micheva KD (1997)	PUBMED:9341169	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P49418	-	NP_647477|NP_001626	O43426	J3KPK1|Q05CZ1|B9EGN3|C9JFZ1|J3KQV8	NP_001153778|NP_982271|NP_003886|NP_001153774	-	-	-	-	-	-	Homo sapiens	Homo sapiens
283199	29763	8867	118896	114388	-	-	PACSIN3	SYNJ1	SDPIII	INPP5G|PARK20	Reconstituted Complex	physical	Modregger J (2000)	PUBMED:11082044	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9UKS6	-	NP_001171904|NP_001171903|NP_057307	O43426	J3KPK1|Q05CZ1|B9EGN3|C9JFZ1|J3KQV8	NP_001153778|NP_982271|NP_003886|NP_001153774	-	-	-	-	-	-	Homo sapiens	Homo sapiens
283202	11252	8867	116413	114388	AL049758.1	-	PACSIN2	SYNJ1	SDPII	INPP5G|PARK20	Reconstituted Complex	physical	Modregger J (2000)	PUBMED:11082044	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9UNF0	Q6FIA3	NP_001171900|NP_009160|NP_001171899	O43426	J3KPK1|Q05CZ1|B9EGN3|C9JFZ1|J3KQV8	NP_001153778|NP_982271|NP_003886|NP_001153774	-	-	-	-	-	-	Homo sapiens	Homo sapiens
283205	29993	8867	119018	114388	RP11-375E1__A.1	-	PACSIN1	SYNJ1	SDPI	INPP5G|PARK20	Reconstituted Complex	physical	Modregger J (2000)	PUBMED:11082044	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9BY11	Q5TZC3	NP_065855|NP_001186512	O43426	J3KPK1|Q05CZ1|B9EGN3|C9JFZ1|J3KQV8	NP_001153778|NP_982271|NP_003886|NP_001153774	-	-	-	-	-	-	Homo sapiens	Homo sapiens
